Datetime,100034981 (Weseler Straße),101034981 (Weseler Straße stadteinwärts),102034981 (Weseler Straße stadtauswärts),100034981-status,101034981-status,102034981-status
2023-01-01 00:00,0,0,0,0,0,0
2023-01-01 00:15,4,3,1,0,0,0
2023-01-01 00:30,3,3,0,0,0,0
2023-01-01 00:45,14,12,2,0,0,0
2023-01-01 01:00,5,4,1,0,0,0
2023-01-01 01:15,5,4,1,0,0,0
2023-01-01 01:30,23,16,7,0,0,0
2023-01-01 01:45,17,14,3,0,0,0
2023-01-01 02:00,21,13,8,0,0,0
2023-01-01 02:15,10,5,5,0,0,0
2023-01-01 02:30,18,14,4,0,0,0
2023-01-01 02:45,12,9,3,0,0,0
2023-01-01 03:00,16,7,9,0,0,0
2023-01-01 03:15,16,9,7,0,0,0
2023-01-01 03:30,30,18,12,0,0,0
2023-01-01 03:45,18,12,6,0,0,0
2023-01-01 04:00,16,9,7,0,0,0
2023-01-01 04:15,13,8,5,0,0,0
2023-01-01 04:30,6,3,3,0,0,0
2023-01-01 04:45,15,13,2,0,0,0
2023-01-01 05:00,4,1,3,0,0,0
2023-01-01 05:15,6,3,3,0,0,0
2023-01-01 05:30,7,3,4,0,0,0
2023-01-01 05:45,7,3,4,0,0,0
2023-01-01 06:00,2,0,2,0,0,0
2023-01-01 06:15,2,2,0,0,0,0
2023-01-01 06:30,3,0,3,0,0,0
2023-01-01 06:45,0,0,0,0,0,0
2023-01-01 07:00,0,0,0,0,0,0
2023-01-01 07:15,2,0,2,0,0,0
2023-01-01 07:30,0,0,0,0,0,0
2023-01-01 07:45,1,1,0,0,0,0
2023-01-01 08:00,0,0,0,0,0,0
2023-01-01 08:15,1,1,0,0,0,0
2023-01-01 08:30,4,1,3,0,0,0
2023-01-01 08:45,3,1,2,0,0,0
2023-01-01 09:00,0,0,0,0,0,0
2023-01-01 09:15,3,2,1,0,0,0
2023-01-01 09:30,5,3,2,0,0,0
2023-01-01 09:45,4,1,3,0,0,0
2023-01-01 10:00,3,1,2,0,0,0
2023-01-01 10:15,1,0,1,0,0,0
2023-01-01 10:30,3,3,0,0,0,0
2023-01-01 10:45,3,3,0,0,0,0
2023-01-01 11:00,2,2,0,0,0,0
2023-01-01 11:15,4,2,2,0,0,0
2023-01-01 11:30,5,3,2,0,0,0
2023-01-01 11:45,4,1,3,0,0,0
2023-01-01 12:00,9,5,4,0,0,0
2023-01-01 12:15,5,2,3,0,0,0
2023-01-01 12:30,7,6,1,0,0,0
2023-01-01 12:45,8,3,5,0,0,0
2023-01-01 13:00,6,4,2,0,0,0
2023-01-01 13:15,7,4,3,0,0,0
2023-01-01 13:30,10,4,6,0,0,0
2023-01-01 13:45,12,9,3,0,0,0
2023-01-01 14:00,20,13,7,0,0,0
2023-01-01 14:15,8,6,2,0,0,0
2023-01-01 14:30,12,11,1,0,0,0
2023-01-01 14:45,12,10,2,0,0,0
2023-01-01 15:00,19,16,3,0,0,0
2023-01-01 15:15,19,11,8,0,0,0
2023-01-01 15:30,12,7,5,0,0,0
2023-01-01 15:45,9,6,3,0,0,0
2023-01-01 16:00,9,6,3,0,0,0
2023-01-01 16:15,11,6,5,0,0,0
2023-01-01 16:30,15,9,6,0,0,0
2023-01-01 16:45,19,8,11,0,0,0
2023-01-01 17:00,12,8,4,0,0,0
2023-01-01 17:15,16,8,8,0,0,0
2023-01-01 17:30,18,13,5,0,0,0
2023-01-01 17:45,25,14,11,0,0,0
2023-01-01 18:00,12,7,5,0,0,0
2023-01-01 18:15,14,7,7,0,0,0
2023-01-01 18:30,5,3,2,0,0,0
2023-01-01 18:45,12,7,5,0,0,0
2023-01-01 19:00,11,4,7,0,0,0
2023-01-01 19:15,8,4,4,0,0,0
2023-01-01 19:30,8,3,5,0,0,0
2023-01-01 19:45,6,2,4,0,0,0
2023-01-01 20:00,11,3,8,0,0,0
2023-01-01 20:15,11,7,4,0,0,0
2023-01-01 20:30,3,3,0,0,0,0
2023-01-01 20:45,4,1,3,0,0,0
2023-01-01 21:00,4,2,2,0,0,0
2023-01-01 21:15,4,1,3,0,0,0
2023-01-01 21:30,7,2,5,0,0,0
2023-01-01 21:45,3,1,2,0,0,0
2023-01-01 22:00,3,3,0,0,0,0
2023-01-01 22:15,2,1,1,0,0,0
2023-01-01 22:30,6,1,5,0,0,0
2023-01-01 22:45,2,0,2,0,0,0
2023-01-01 23:00,2,1,1,0,0,0
2023-01-01 23:15,1,0,1,0,0,0
2023-01-01 23:30,3,1,2,0,0,0
2023-01-01 23:45,3,1,2,0,0,0
2023-01-02 00:00,1,0,1,0,0,0
2023-01-02 00:15,0,0,0,0,0,0
2023-01-02 00:30,1,0,1,0,0,0
2023-01-02 00:45,1,0,1,0,0,0
2023-01-02 01:00,0,0,0,0,0,0
2023-01-02 01:15,0,0,0,0,0,0
2023-01-02 01:30,1,1,0,0,0,0
2023-01-02 01:45,2,0,2,0,0,0
2023-01-02 02:00,0,0,0,0,0,0
2023-01-02 02:15,0,0,0,0,0,0
2023-01-02 02:30,0,0,0,0,0,0
2023-01-02 02:45,0,0,0,0,0,0
2023-01-02 03:00,1,1,0,0,0,0
2023-01-02 03:15,1,1,0,0,0,0
2023-01-02 03:30,0,0,0,0,0,0
2023-01-02 03:45,0,0,0,0,0,0
2023-01-02 04:00,0,0,0,0,0,0
2023-01-02 04:15,4,1,3,0,0,0
2023-01-02 04:30,2,0,2,0,0,0
2023-01-02 04:45,3,3,0,0,0,0
2023-01-02 05:00,1,1,0,0,0,0
2023-01-02 05:15,5,1,4,0,0,0
2023-01-02 05:30,5,2,3,0,0,0
2023-01-02 05:45,9,5,4,0,0,0
2023-01-02 06:00,11,8,3,0,0,0
