Datetime,100034981 (Weseler Straße),101034981 (Weseler Straße stadteinwärts),102034981 (Weseler Straße stadtauswärts),100034981-status,101034981-status,102034981-status
2019-06-01 00:00,24,3,21,0,0,0
2019-06-01 00:15,15,11,4,0,0,0
2019-06-01 00:30,34,16,18,0,0,0
2019-06-01 00:45,13,5,8,0,0,0
2019-06-01 01:00,17,7,10,0,0,0
2019-06-01 01:15,16,6,10,0,0,0
2019-06-01 01:30,16,7,9,0,0,0
2019-06-01 01:45,17,13,4,0,0,0
2019-06-01 02:00,9,2,7,0,0,0
2019-06-01 02:15,6,0,6,0,0,0
2019-06-01 02:30,7,5,2,0,0,0
2019-06-01 02:45,6,1,5,0,0,0
2019-06-01 03:00,5,3,2,0,0,0
2019-06-01 03:15,11,6,5,0,0,0
2019-06-01 03:30,5,3,2,0,0,0
2019-06-01 03:45,2,1,1,0,0,0
2019-06-01 04:00,6,1,5,0,0,0
2019-06-01 04:15,3,1,2,0,0,0
2019-06-01 04:30,1,0,1,0,0,0
2019-06-01 04:45,3,1,2,0,0,0
2019-06-01 05:00,1,1,0,0,0,0
2019-06-01 05:15,4,2,2,0,0,0
2019-06-01 05:30,6,4,2,0,0,0
2019-06-01 05:45,1,1,0,0,0,0
2019-06-01 06:00,2,2,0,0,0,0
2019-06-01 06:15,4,3,1,0,0,0
2019-06-01 06:30,7,3,4,0,0,0
2019-06-01 06:45,6,5,1,0,0,0
2019-06-01 07:00,11,8,3,0,0,0
2019-06-01 07:15,4,4,0,0,0,0
2019-06-01 07:30,10,5,5,0,0,0
2019-06-01 07:45,11,8,3,0,0,0
2019-06-01 08:00,8,6,2,0,0,0
2019-06-01 08:15,17,10,7,0,0,0
2019-06-01 08:30,27,17,10,0,0,0
2019-06-01 08:45,23,16,7,0,0,0
2019-06-01 09:00,28,21,7,0,0,0
2019-06-01 09:15,33,21,12,0,0,0
2019-06-01 09:30,37,27,10,0,0,0
2019-06-01 09:45,36,28,8,0,0,0
2019-06-01 10:00,37,22,15,0,0,0
2019-06-01 10:15,50,38,12,0,0,0
2019-06-01 10:30,51,34,17,0,0,0
2019-06-01 10:45,61,47,14,0,0,0
2019-06-01 11:00,55,46,9,0,0,0
2019-06-01 11:15,42,26,16,0,0,0
2019-06-01 11:30,59,43,16,0,0,0
2019-06-01 11:45,55,34,21,0,0,0
2019-06-01 12:00,61,37,24,0,0,0
2019-06-01 12:15,62,41,21,0,0,0
2019-06-01 12:30,56,42,14,0,0,0
2019-06-01 12:45,50,27,23,0,0,0
2019-06-01 13:00,45,31,14,0,0,0
2019-06-01 13:15,69,48,21,0,0,0
2019-06-01 13:30,56,38,18,0,0,0
2019-06-01 13:45,52,34,18,0,0,0
2019-06-01 14:00,58,30,28,0,0,0
2019-06-01 14:15,80,45,35,0,0,0
2019-06-01 14:30,59,35,24,0,0,0
2019-06-01 14:45,43,30,13,0,0,0
2019-06-01 15:00,52,27,25,0,0,0
2019-06-01 15:15,40,28,12,0,0,0
2019-06-01 15:30,46,28,18,0,0,0
2019-06-01 15:45,61,43,18,0,0,0
2019-06-01 16:00,48,26,22,0,0,0
2019-06-01 16:15,47,27,20,0,0,0
2019-06-01 16:30,43,21,22,0,0,0
2019-06-01 16:45,41,32,9,0,0,0
2019-06-01 17:00,23,16,7,0,0,0
2019-06-01 17:15,43,31,12,0,0,0
2019-06-01 17:30,44,28,16,0,0,0
2019-06-01 17:45,59,40,19,0,0,0
2019-06-01 18:00,71,45,26,0,0,0
