Datetime,100034981 (Weseler Straße),101034981 (Weseler Straße stadteinwärts),102034981 (Weseler Straße stadtauswärts),100034981-status,101034981-status,102034981-status
2021-01-01 00:00,0,0,0,0,0,0
2021-01-01 00:15,1,1,0,0,0,0
2021-01-01 00:30,3,1,2,0,0,0
2021-01-01 00:45,7,2,5,0,0,0
2021-01-01 01:00,3,2,1,0,0,0
2021-01-01 01:15,2,0,2,0,0,0
2021-01-01 01:30,4,2,2,0,0,0
2021-01-01 01:45,10,7,3,0,0,0
2021-01-01 02:00,9,9,0,0,0,0
2021-01-01 02:15,4,4,0,0,0,0
2021-01-01 02:30,5,2,3,0,0,0
2021-01-01 02:45,3,3,0,0,0,0
2021-01-01 03:00,8,5,3,0,0,0
2021-01-01 03:15,8,7,1,0,0,0
2021-01-01 03:30,7,7,0,0,0,0
2021-01-01 03:45,10,8,2,0,0,0
2021-01-01 04:00,8,5,3,0,0,0
2021-01-01 04:15,2,2,0,0,0,0
2021-01-01 04:30,3,1,2,0,0,0
2021-01-01 04:45,3,3,0,0,0,0
2021-01-01 05:00,3,1,2,0,0,0
2021-01-01 05:15,2,2,0,0,0,0
2021-01-01 05:30,3,3,0,0,0,0
2021-01-01 05:45,7,4,3,0,0,0
2021-01-01 06:00,2,1,1,0,0,0
2021-01-01 06:15,4,3,1,0,0,0
2021-01-01 06:30,2,1,1,0,0,0
2021-01-01 06:45,8,6,2,0,0,0
2021-01-01 07:00,1,0,1,0,0,0
2021-01-01 07:15,3,1,2,0,0,0
2021-01-01 07:30,3,3,0,0,0,0
2021-01-01 07:45,5,4,1,0,0,0
2021-01-01 08:00,0,0,0,0,0,0
2021-01-01 08:15,3,2,1,0,0,0
2021-01-01 08:30,3,2,1,0,0,0
2021-01-01 08:45,1,1,0,0,0,0
2021-01-01 09:00,1,0,1,0,0,0
2021-01-01 09:15,2,2,0,0,0,0
2021-01-01 09:30,3,3,0,0,0,0
2021-01-01 09:45,0,0,0,0,0,0
2021-01-01 10:00,3,3,0,0,0,0
2021-01-01 10:15,2,0,2,0,0,0
2021-01-01 10:30,2,2,0,0,0,0
2021-01-01 10:45,3,2,1,0,0,0
2021-01-01 11:00,2,2,0,0,0,0
2021-01-01 11:15,4,4,0,0,0,0
2021-01-01 11:30,4,4,0,0,0,0
2021-01-01 11:45,3,2,1,0,0,0
2021-01-01 12:00,4,1,3,0,0,0
2021-01-01 12:15,7,2,5,0,0,0
2021-01-01 12:30,5,4,1,0,0,0
2021-01-01 12:45,8,4,4,0,0,0
2021-01-01 13:00,8,6,2,0,0,0
2021-01-01 13:15,5,2,3,0,0,0
2021-01-01 13:30,11,8,3,0,0,0
2021-01-01 13:45,6,3,3,0,0,0
2021-01-01 14:00,13,9,4,0,0,0
2021-01-01 14:15,22,17,5,0,0,0
2021-01-01 14:30,13,7,6,0,0,0
2021-01-01 14:45,13,9,4,0,0,0
2021-01-01 15:00,8,6,2,0,0,0
