Datetime,100053305 (Kanalpromenade),101053305 (Kanalpromenade Fahrräder Richtung Osttor),102053305 (Kanalpromenade Fahrräder Richtung Zentrum),103053305 (Kanalpromenade Fahrräder Richtung Osttor),104053305 (Kanalpromenade Fahrräder Richtung Zentrum),100053305-status,101053305-status,102053305-status,103053305-status,104053305-status
2019-07-09 00:00,0,0,0,0,0,0,0,0,0,0
2019-07-09 00:15,0,0,0,0,0,0,0,0,0,0
2019-07-09 00:30,0,0,0,0,0,0,0,0,0,0
2019-07-09 00:45,0,0,0,0,0,0,0,0,0,0
2019-07-09 01:00,0,0,0,0,0,0,0,0,0,0
2019-07-09 01:15,0,0,0,0,0,0,0,0,0,0
2019-07-09 01:30,0,0,0,0,0,0,0,0,0,0
2019-07-09 01:45,0,0,0,0,0,0,0,0,0,0
2019-07-09 02:00,0,0,0,0,0,0,0,0,0,0
2019-07-09 02:15,0,0,0,0,0,0,0,0,0,0
2019-07-09 02:30,0,0,0,0,0,0,0,0,0,0
2019-07-09 02:45,0,0,0,0,0,0,0,0,0,0
2019-07-09 03:00,0,0,0,0,0,0,0,0,0,0
2019-07-09 03:15,0,0,0,0,0,0,0,0,0,0
2019-07-09 03:30,0,0,0,0,0,0,0,0,0,0
2019-07-09 03:45,0,0,0,0,0,0,0,0,0,0
2019-07-09 04:00,0,0,0,0,0,0,0,0,0,0
2019-07-09 04:15,0,0,0,0,0,0,0,0,0,0
2019-07-09 04:30,0,0,0,0,0,0,0,0,0,0
2019-07-09 04:45,0,0,0,0,0,0,0,0,0,0
2019-07-09 05:00,0,0,0,0,0,0,0,0,0,0
2019-07-09 05:15,0,0,0,0,0,0,0,0,0,0
2019-07-09 05:30,0,0,0,0,0,0,0,0,0,0
2019-07-09 05:45,0,0,0,0,0,0,0,0,0,0
2019-07-09 06:00,0,0,0,0,0,0,0,0,0,0
2019-07-09 06:15,0,0,0,0,0,0,0,0,0,0
2019-07-09 06:30,0,0,0,0,0,0,0,0,0,0
2019-07-09 06:45,0,0,0,0,0,0,0,0,0,0
2019-07-09 07:00,0,0,0,0,0,0,0,0,0,0
2019-07-09 07:15,0,0,0,0,0,0,0,0,0,0
2019-07-09 07:30,0,0,0,0,0,0,0,0,0,0
2019-07-09 07:45,0,0,0,0,0,0,0,0,0,0
2019-07-09 08:00,0,0,0,0,0,0,0,0,0,0
2019-07-09 08:15,0,0,0,0,0,0,0,0,0,0
2019-07-09 08:30,0,0,0,0,0,0,0,0,0,0
2019-07-09 08:45,0,0,0,0,0,0,0,0,0,0
2019-07-09 09:00,0,0,0,0,0,0,0,0,0,0
2019-07-09 09:15,0,0,0,0,0,0,0,0,0,0
2019-07-09 09:30,0,0,0,0,0,0,0,0,0,0
2019-07-09 09:45,0,0,0,0,0,0,0,0,0,0
2019-07-09 10:00,3,0,1,2,0,0,0,0,0,0
2019-07-09 10:15,12,0,9,2,1,0,0,0,0,0
2019-07-09 10:30,5,0,3,2,0,0,0,0,0,0
2019-07-09 10:45,11,0,5,4,2,0,0,0,0,0
2019-07-09 11:00,7,0,2,5,0,0,0,0,0,0
2019-07-09 11:15,16,2,7,7,0,0,0,0,0,0
2019-07-09 11:30,12,1,5,6,0,0,0,0,0,0
2019-07-09 11:45,7,0,2,5,0,0,0,0,0,0
2019-07-09 12:00,9,2,3,4,0,0,0,0,0,0
2019-07-09 12:15,10,1,1,8,0,0,0,0,0,0
2019-07-09 12:30,7,0,5,2,0,0,0,0,0,0
2019-07-09 12:45,13,2,7,4,0,0,0,0,0,0
2019-07-09 13:00,16,2,6,7,1,0,0,0,0,0
2019-07-09 13:15,18,1,13,4,0,0,0,0,0,0
2019-07-09 13:30,13,2,7,4,0,0,0,0,0,0
2019-07-09 13:45,14,3,5,6,0,0,0,0,0,0
2019-07-09 14:00,14,1,6,7,0,0,0,0,0,0
2019-07-09 14:15,13,1,1,11,0,0,0,0,0,0
2019-07-09 14:30,13,4,2,7,0,0,0,0,0,0
2019-07-09 14:45,10,0,4,6,0,0,0,0,0,0
2019-07-09 15:00,22,4,10,8,0,0,0,0,0,0
2019-07-09 15:15,17,0,12,5,0,0,0,0,0,0
2019-07-09 15:30,24,2,11,10,1,0,0,0,0,0
2019-07-09 15:45,20,3,7,9,1,0,0,0,0,0
2019-07-09 16:00,23,1,4,18,0,0,0,0,0,0
2019-07-09 16:15,31,2,17,12,0,0,0,0,0,0
2019-07-09 16:30,21,3,8,10,0,0,0,0,0,0
2019-07-09 16:45,18,1,7,9,1,0,0,0,0,0
2019-07-09 17:00,27,4,11,12,0,0,0,0,0,0
2019-07-09 17:15,33,3,9,20,1,0,0,0,0,0
2019-07-09 17:30,14,2,5,7,0,0,0,0,0,0
2019-07-09 17:45,24,0,17,7,0,0,0,0,0,0
2019-07-09 18:00,18,1,6,11,0,0,0,0,0,0
2019-07-09 18:15,22,7,6,9,0,0,0,0,0,0
2019-07-09 18:30,21,4,6,11,0,0,0,0,0,0
2019-07-09 18:45,11,2,7,2,0,0,0,0,0,0
2019-07-09 19:00,24,6,7,11,0,0,0,0,0,0
2019-07-09 19:15,15,0,10,5,0,0,0,0,0,0
2019-07-09 19:30,10,1,2,7,0,0,0,0,0,0
2019-07-09 19:45,10,1,5,4,0,0,0,0,0,0
2019-07-09 20:00,7,1,1,5,0,0,0,0,0,0
2019-07-09 20:15,4,1,0,3,0,0,0,0,0,0
2019-07-09 20:30,3,0,2,1,0,0,0,0,0,0
2019-07-09 20:45,7,2,2,3,0,0,0,0,0,0
2019-07-09 21:00,3,0,1,2,0,0,0,0,0,0
2019-07-09 21:15,7,0,7,0,0,0,0,0,0,0
2019-07-09 21:30,4,0,1,3,0,0,0,0,0,0
2019-07-09 21:45,2,0,0,1,1,0,0,0,0,0
2019-07-09 22:00,6,1,2,3,0,0,0,0,0,0
2019-07-09 22:15,4,0,3,1,0,0,0,0,0,0
2019-07-09 22:30,4,0,3,1,0,0,0,0,0,0
2019-07-09 22:45,3,1,1,1,0,0,0,0,0,0
2019-07-09 23:00,0,0,0,0,0,0,0,0,0,0
2019-07-09 23:15,1,0,1,0,0,0,0,0,0,0
2019-07-09 23:30,0,0,0,0,0,0,0,0,0,0
2019-07-09 23:45,0,0,0,0,0,0,0,0,0,0
2019-07-10 00:00,1,1,0,0,0,0,0,0,0,0
2019-07-10 00:15,0,0,0,0,0,0,0,0,0,0
2019-07-10 00:30,0,0,0,0,0,0,0,0,0,0
2019-07-10 00:45,0,0,0,0,0,0,0,0,0,0
2019-07-10 01:00,0,0,0,0,0,0,0,0,0,0
2019-07-10 01:15,0,0,0,0,0,0,0,0,0,0
2019-07-10 01:30,0,0,0,0,0,0,0,0,0,0
2019-07-10 01:45,0,0,0,0,0,0,0,0,0,0
2019-07-10 02:00,0,0,0,0,0,0,0,0,0,0
2019-07-10 02:15,0,0,0,0,0,0,0,0,0,0
2019-07-10 02:30,0,0,0,0,0,0,0,0,0,0
2019-07-10 02:45,0,0,0,0,0,0,0,0,0,0
2019-07-10 03:00,0,0,0,0,0,0,0,0,0,0
2019-07-10 03:15,0,0,0,0,0,0,0,0,0,0
2019-07-10 03:30,0,0,0,0,0,0,0,0,0,0
2019-07-10 03:45,0,0,0,0,0,0,0,0,0,0
2019-07-10 04:00,0,0,0,0,0,0,0,0,0,0
2019-07-10 04:15,0,0,0,0,0,0,0,0,0,0
2019-07-10 04:30,1,1,0,0,0,0,0,0,0,0
2019-07-10 04:45,0,0,0,0,0,0,0,0,0,0
2019-07-10 05:00,3,0,2,1,0,0,0,0,0,0
2019-07-10 05:15,4,0,4,0,0,0,0,0,0,0
2019-07-10 05:30,5,0,3,2,0,0,0,0,0,0
2019-07-10 05:45,4,0,4,0,0,0,0,0,0,0
2019-07-10 06:00,6,0,4,1,1,0,0,0,0,0
2019-07-10 06:15,12,0,8,4,0,0,0,0,0,0
2019-07-10 06:30,25,1,19,5,0,0,0,0,0,0
2019-07-10 06:45,28,2,17,9,0,0,0,0,0,0
2019-07-10 07:00,15,1,10,4,0,0,0,0,0,0
2019-07-10 07:15,25,1,14,10,0,0,0,0,0,0
2019-07-10 07:30,37,5,17,15,0,0,0,0,0,0
2019-07-10 07:45,30,2,18,10,0,0,0,0,0,0
2019-07-10 08:00,21,2,14,5,0,0,0,0,0,0
2019-07-10 08:15,17,1,7,9,0,0,0,0,0,0
2019-07-10 08:30,23,4,9,10,0,0,0,0,0,0
2019-07-10 08:45,20,1,11,8,0,0,0,0,0,0
2019-07-10 09:00,11,0,6,5,0,0,0,0,0,0
2019-07-10 09:15,9,0,8,1,0,0,0,0,0,0
2019-07-10 09:30,6,0,5,1,0,0,0,0,0,0
2019-07-10 09:45,2,0,1,1,0,0,0,0,0,0
2019-07-10 10:00,10,1,2,7,0,0,0,0,0,0
2019-07-10 10:15,13,1,6,6,0,0,0,0,0,0
2019-07-10 10:30,16,2,6,8,0,0,0,0,0,0
2019-07-10 10:45,7,2,3,2,0,0,0,0,0,0
2019-07-10 11:00,8,1,5,2,0,0,0,0,0,0
2019-07-10 11:15,11,1,4,4,2,0,0,0,0,0
2019-07-10 11:30,16,2,7,7,0,0,0,0,0,0
2019-07-10 11:45,11,2,5,4,0,0,0,0,0,0
2019-07-10 12:00,12,0,10,2,0,0,0,0,0,0
2019-07-10 12:15,23,1,6,16,0,0,0,0,0,0
2019-07-10 12:30,22,3,11,8,0,0,0,0,0,0
2019-07-10 12:45,21,3,7,11,0,0,0,0,0,0
2019-07-10 13:00,18,2,8,8,0,0,0,0,0,0
2019-07-10 13:15,21,3,12,6,0,0,0,0,0,0
2019-07-10 13:30,20,2,8,10,0,0,0,0,0,0
2019-07-10 13:45,13,1,6,6,0,0,0,0,0,0
2019-07-10 14:00,12,0,4,8,0,0,0,0,0,0
2019-07-10 14:15,17,2,5,10,0,0,0,0,0,0
2019-07-10 14:30,25,0,12,13,0,0,0,0,0,0
2019-07-10 14:45,9,0,3,6,0,0,0,0,0,0
2019-07-10 15:00,16,1,11,4,0,0,0,0,0,0
2019-07-10 15:15,22,0,10,12,0,0,0,0,0,0
2019-07-10 15:30,19,1,10,8,0,0,0,0,0,0
2019-07-10 15:45,24,0,10,13,1,0,0,0,0,0
2019-07-10 16:00,23,1,10,12,0,0,0,0,0,0
2019-07-10 16:15,23,0,10,13,0,0,0,0,0,0
2019-07-10 16:30,21,1,8,12,0,0,0,0,0,0
2019-07-10 16:45,34,1,12,21,0,0,0,0,0,0
2019-07-10 17:00,40,3,19,18,0,0,0,0,0,0
2019-07-10 17:15,37,8,5,24,0,0,0,0,0,0
2019-07-10 17:30,22,2,8,12,0,0,0,0,0,0
2019-07-10 17:45,35,1,17,17,0,0,0,0,0,0
2019-07-10 18:00,24,3,6,15,0,0,0,0,0,0
2019-07-10 18:15,15,4,3,8,0,0,0,0,0,0
2019-07-10 18:30,18,0,8,10,0,0,0,0,0,0
2019-07-10 18:45,11,2,4,5,0,0,0,0,0,0
2019-07-10 19:00,9,1,3,4,1,0,0,0,0,0
2019-07-10 19:15,14,2,8,4,0,0,0,0,0,0
2019-07-10 19:30,6,2,2,2,0,0,0,0,0,0
2019-07-10 19:45,8,0,4,4,0,0,0,0,0,0
2019-07-10 20:00,8,3,2,2,1,0,0,0,0,0
2019-07-10 20:15,1,0,1,0,0,0,0,0,0,0
2019-07-10 20:30,7,2,1,4,0,0,0,0,0,0
2019-07-10 20:45,5,1,2,2,0,0,0,0,0,0
