Datetime,100035541 (Neutor),101035541 (Neutor stadteinwärts),102035541 (Neutor stadtauswärts),100035541-status,101035541-status,102035541-status
2020-10-01 00:00,59,26,33,0,0,0
2020-10-01 00:15,36,16,20,0,0,0
2020-10-01 00:30,37,11,26,0,0,0
2020-10-01 00:45,37,11,26,0,0,0
2020-10-01 01:00,32,7,25,0,0,0
2020-10-01 01:15,32,9,23,0,0,0
2020-10-01 01:30,24,5,19,0,0,0
2020-10-01 01:45,29,11,18,0,0,0
2020-10-01 02:00,32,6,26,0,0,0
2020-10-01 02:15,26,10,16,0,0,0
2020-10-01 02:30,5,2,3,0,0,0
2020-10-01 02:45,19,1,18,0,0,0
2020-10-01 03:00,10,2,8,0,0,0
2020-10-01 03:15,4,1,3,0,0,0
2020-10-01 03:30,6,2,4,0,0,0
2020-10-01 03:45,6,4,2,0,0,0
2020-10-01 04:00,3,1,2,0,0,0
2020-10-01 04:15,10,4,6,0,0,0
2020-10-01 04:30,4,3,1,0,0,0
2020-10-01 04:45,12,6,6,0,0,0
2020-10-01 05:00,7,5,2,0,0,0
2020-10-01 05:15,13,10,3,0,0,0
2020-10-01 05:30,29,17,12,0,0,0
2020-10-01 05:45,16,13,3,0,0,0
2020-10-01 06:00,38,31,7,0,0,0
2020-10-01 06:15,45,27,18,0,0,0
2020-10-01 06:30,68,40,28,0,0,0
2020-10-01 06:45,73,46,27,0,0,0
2020-10-01 07:00,115,69,46,0,0,0
2020-10-01 07:15,177,119,58,0,0,0
2020-10-01 07:30,352,263,89,0,0,0
2020-10-01 07:45,275,179,96,0,0,0
2020-10-01 08:00,197,101,96,0,0,0
2020-10-01 08:15,210,135,75,0,0,0
2020-10-01 08:30,198,112,86,0,0,0
2020-10-01 08:45,252,154,98,0,0,0
2020-10-01 09:00,159,111,48,0,0,0
2020-10-01 09:15,144,94,50,0,0,0
2020-10-01 09:30,156,85,71,0,0,0
2020-10-01 09:45,181,106,75,0,0,0
2020-10-01 10:00,103,57,46,0,0,0
2020-10-01 10:15,118,66,52,0,0,0
2020-10-01 10:30,120,64,56,0,0,0
2020-10-01 10:45,150,78,72,0,0,0
2020-10-01 11:00,138,77,61,0,0,0
2020-10-01 11:15,122,64,58,0,0,0
2020-10-01 11:30,140,81,59,0,0,0
2020-10-01 11:45,163,94,69,0,0,0
2020-10-01 12:00,172,107,65,0,0,0
2020-10-01 12:15,173,96,77,0,0,0
2020-10-01 12:30,150,76,74,0,0,0
2020-10-01 12:45,180,85,95,0,0,0
2020-10-01 13:00,198,79,119,0,0,0
2020-10-01 13:15,175,82,93,0,0,0
2020-10-01 13:30,231,94,137,0,0,0
2020-10-01 13:45,209,96,113,0,0,0
2020-10-01 14:00,227,93,134,0,0,0
2020-10-01 14:15,195,86,109,0,0,0
2020-10-01 14:30,179,82,97,0,0,0
2020-10-01 14:45,207,90,117,0,0,0
2020-10-01 15:00,184,72,112,0,0,0
2020-10-01 15:15,192,85,107,0,0,0
2020-10-01 15:30,283,98,185,0,0,0
