Datetime,100035541 (Neutor),101035541 (Neutor stadteinwärts),102035541 (Neutor stadtauswärts),100035541-status,101035541-status,102035541-status
2021-04-01 00:00,29,13,16,0,0,0
2021-04-01 00:15,13,7,6,0,0,0
2021-04-01 00:30,18,10,8,0,0,0
2021-04-01 00:45,17,11,6,0,0,0
2021-04-01 01:00,10,2,8,0,0,0
2021-04-01 01:15,10,3,7,0,0,0
2021-04-01 01:30,8,3,5,0,0,0
2021-04-01 01:45,9,0,9,0,0,0
2021-04-01 02:00,10,3,7,0,0,0
2021-04-01 02:15,9,2,7,0,0,0
2021-04-01 02:30,3,0,3,0,0,0
2021-04-01 02:45,11,4,7,0,0,0
2021-04-01 03:00,2,1,1,0,0,0
2021-04-01 03:15,5,3,2,0,0,0
2021-04-01 03:30,5,1,4,0,0,0
2021-04-01 03:45,7,3,4,0,0,0
2021-04-01 04:00,2,0,2,0,0,0
2021-04-01 04:15,3,3,0,0,0,0
2021-04-01 04:30,4,2,2,0,0,0
2021-04-01 04:45,7,4,3,0,0,0
2021-04-01 05:00,9,7,2,0,0,0
2021-04-01 05:15,11,11,0,0,0,0
2021-04-01 05:30,22,14,8,0,0,0
2021-04-01 05:45,18,10,8,0,0,0
2021-04-01 06:00,24,12,12,0,0,0
2021-04-01 06:15,38,19,19,0,0,0
2021-04-01 06:30,45,28,17,0,0,0
2021-04-01 06:45,66,46,20,0,0,0
2021-04-01 07:00,68,44,24,0,0,0
2021-04-01 07:15,80,49,31,0,0,0
2021-04-01 07:30,129,83,46,0,0,0
2021-04-01 07:45,123,62,61,0,0,0
2021-04-01 08:00,80,53,27,0,0,0
2021-04-01 08:15,127,75,52,0,0,0
2021-04-01 08:30,115,73,42,0,0,0
2021-04-01 08:45,129,76,53,0,0,0
2021-04-01 09:00,98,58,40,0,0,0
2021-04-01 09:15,107,63,44,0,0,0
2021-04-01 09:30,122,76,46,0,0,0
2021-04-01 09:45,112,68,44,0,0,0
2021-04-01 10:00,93,56,37,0,0,0
2021-04-01 10:15,79,50,29,0,0,0
2021-04-01 10:30,96,48,48,0,0,0
2021-04-01 10:45,118,59,59,0,0,0
2021-04-01 11:00,128,71,57,0,0,0
2021-04-01 11:15,99,46,53,0,0,0
2021-04-01 11:30,130,72,58,0,0,0
2021-04-01 11:45,124,56,68,0,0,0
2021-04-01 12:00,136,68,68,0,0,0
2021-04-01 12:15,109,56,53,0,0,0
2021-04-01 12:30,132,62,70,0,0,0
2021-04-01 12:45,134,84,50,0,0,0
2021-04-01 13:00,143,62,81,0,0,0
2021-04-01 13:15,111,61,50,0,0,0
2021-04-01 13:30,136,76,60,0,0,0
2021-04-01 13:45,138,65,73,0,0,0
2021-04-01 14:00,143,66,77,0,0,0
2021-04-01 14:15,144,69,75,0,0,0
2021-04-01 14:30,137,82,55,0,0,0
2021-04-01 14:45,162,72,90,0,0,0
2021-04-01 15:00,156,83,73,0,0,0
2021-04-01 15:15,139,57,82,0,0,0
2021-04-01 15:30,157,93,64,0,0,0
2021-04-01 15:45,203,102,101,0,0,0
2021-04-01 16:00,189,84,105,0,0,0
2021-04-01 16:15,167,80,87,0,0,0
2021-04-01 16:30,197,86,111,0,0,0
2021-04-01 16:45,178,90,88,0,0,0
2021-04-01 17:00,198,96,102,0,0,0
2021-04-01 17:15,167,80,87,0,0,0
2021-04-01 17:30,173,73,100,0,0,0
2021-04-01 17:45,165,73,92,0,0,0
2021-04-01 18:00,149,69,80,0,0,0
2021-04-01 18:15,179,77,102,0,0,0
2021-04-01 18:30,157,64,93,0,0,0
2021-04-01 18:45,176,89,87,0,0,0
2021-04-01 19:00,123,50,73,0,0,0
2021-04-01 19:15,116,71,45,0,0,0
2021-04-01 19:30,115,59,56,0,0,0
2021-04-01 19:45,108,54,54,0,0,0
2021-04-01 20:00,92,44,48,0,0,0
2021-04-01 20:15,74,37,37,0,0,0
2021-04-01 20:30,69,28,41,0,0,0
2021-04-01 20:45,63,28,35,0,0,0
2021-04-01 21:00,47,23,24,0,0,0
2021-04-01 21:15,52,19,33,0,0,0
2021-04-01 21:30,43,10,33,0,0,0
2021-04-01 21:45,24,6,18,0,0,0
2021-04-01 22:00,36,16,20,0,0,0
2021-04-01 22:15,29,10,19,0,0,0
2021-04-01 22:30,26,10,16,0,0,0
2021-04-01 22:45,28,14,14,0,0,0
2021-04-01 23:00,28,13,15,0,0,0
2021-04-01 23:15,29,12,17,0,0,0
2021-04-01 23:30,25,10,15,0,0,0
2021-04-01 23:45,27,14,13,0,0,0
2021-04-02 00:00,24,18,6,0,0,0
2021-04-02 00:15,21,5,16,0,0,0
2021-04-02 00:30,10,6,4,0,0,0
2021-04-02 00:45,16,4,12,0,0,0
2021-04-02 01:00,13,7,6,0,0,0
2021-04-02 01:15,16,6,10,0,0,0
2021-04-02 01:30,14,4,10,0,0,0
2021-04-02 01:45,13,6,7,0,0,0
2021-04-02 02:00,10,5,5,0,0,0
2021-04-02 02:15,3,0,3,0,0,0
2021-04-02 02:30,13,5,8,0,0,0
2021-04-02 02:45,6,2,4,0,0,0
2021-04-02 03:00,3,2,1,0,0,0
2021-04-02 03:15,6,2,4,0,0,0
2021-04-02 03:30,5,3,2,0,0,0
2021-04-02 03:45,3,1,2,0,0,0
2021-04-02 04:00,3,2,1,0,0,0
2021-04-02 04:15,3,1,2,0,0,0
2021-04-02 04:30,3,2,1,0,0,0
2021-04-02 04:45,6,1,5,0,0,0
2021-04-02 05:00,1,1,0,0,0,0
2021-04-02 05:15,5,4,1,0,0,0
2021-04-02 05:30,9,5,4,0,0,0
2021-04-02 05:45,5,2,3,0,0,0
2021-04-02 06:00,4,4,0,0,0,0
2021-04-02 06:15,6,1,5,0,0,0
2021-04-02 06:30,10,4,6,0,0,0
2021-04-02 06:45,4,4,0,0,0,0
2021-04-02 07:00,5,1,4,0,0,0
2021-04-02 07:15,5,4,1,0,0,0
2021-04-02 07:30,8,5,3,0,0,0
2021-04-02 07:45,10,8,2,0,0,0
2021-04-02 08:00,14,11,3,0,0,0
2021-04-02 08:15,24,19,5,0,0,0
2021-04-02 08:30,19,8,11,0,0,0
2021-04-02 08:45,31,18,13,0,0,0
2021-04-02 09:00,23,10,13,0,0,0
2021-04-02 09:15,37,21,16,0,0,0
2021-04-02 09:30,25,19,6,0,0,0
2021-04-02 09:45,42,22,20,0,0,0
2021-04-02 10:00,33,17,16,0,0,0
2021-04-02 10:15,26,15,11,0,0,0
2021-04-02 10:30,46,27,19,0,0,0
2021-04-02 10:45,61,26,35,0,0,0
2021-04-02 11:00,54,31,23,0,0,0
2021-04-02 11:15,44,23,21,0,0,0
2021-04-02 11:30,58,29,29,0,0,0
2021-04-02 11:45,55,33,22,0,0,0
2021-04-02 12:00,49,26,23,0,0,0
2021-04-02 12:15,43,26,17,0,0,0
2021-04-02 12:30,66,30,36,0,0,0
2021-04-02 12:45,57,32,25,0,0,0
2021-04-02 13:00,70,49,21,0,0,0
2021-04-02 13:15,74,37,37,0,0,0
2021-04-02 13:30,70,32,38,0,0,0
2021-04-02 13:45,74,50,24,0,0,0
2021-04-02 14:00,72,40,32,0,0,0
2021-04-02 14:15,67,34,33,0,0,0
2021-04-02 14:30,80,48,32,0,0,0
2021-04-02 14:45,81,58,23,0,0,0
2021-04-02 15:00,67,27,40,0,0,0
2021-04-02 15:15,49,28,21,0,0,0
2021-04-02 15:30,63,31,32,0,0,0
2021-04-02 15:45,62,32,30,0,0,0
2021-04-02 16:00,100,50,50,0,0,0
2021-04-02 16:15,73,39,34,0,0,0
2021-04-02 16:30,88,42,46,0,0,0
2021-04-02 16:45,95,37,58,0,0,0
2021-04-02 17:00,73,34,39,0,0,0
2021-04-02 17:15,51,22,29,0,0,0
2021-04-02 17:30,67,28,39,0,0,0
2021-04-02 17:45,65,20,45,0,0,0
2021-04-02 18:00,59,25,34,0,0,0
2021-04-02 18:15,74,42,32,0,0,0
2021-04-02 18:30,74,33,41,0,0,0
2021-04-02 18:45,52,18,34,0,0,0
2021-04-02 19:00,59,21,38,0,0,0
2021-04-02 19:15,44,21,23,0,0,0
2021-04-02 19:30,38,15,23,0,0,0
2021-04-02 19:45,46,20,26,0,0,0
2021-04-02 20:00,41,24,17,0,0,0
2021-04-02 20:15,40,20,20,0,0,0
2021-04-02 20:30,25,15,10,0,0,0
2021-04-02 20:45,33,7,26,0,0,0
