Datetime,100035541 (Neutor),101035541 (Neutor stadteinwärts),102035541 (Neutor stadtauswärts),100035541-status,101035541-status,102035541-status
2021-02-01 00:00,3,0,3,0,0,0
2021-02-01 00:15,3,0,3,0,0,0
2021-02-01 00:30,7,0,7,0,0,0
2021-02-01 00:45,2,0,2,0,0,0
2021-02-01 01:00,2,0,2,0,0,0
2021-02-01 01:15,0,0,0,0,0,0
2021-02-01 01:30,0,0,0,0,0,0
2021-02-01 01:45,0,0,0,0,0,0
2021-02-01 02:00,0,0,0,0,0,0
2021-02-01 02:15,0,0,0,0,0,0
2021-02-01 02:30,0,0,0,0,0,0
2021-02-01 02:45,0,0,0,0,0,0
2021-02-01 03:00,0,0,0,0,0,0
2021-02-01 03:15,1,0,1,0,0,0
2021-02-01 03:30,0,0,0,0,0,0
2021-02-01 03:45,0,0,0,0,0,0
2021-02-01 04:00,0,0,0,0,0,0
2021-02-01 04:15,0,0,0,0,0,0
2021-02-01 04:30,1,0,1,0,0,0
2021-02-01 04:45,2,0,2,0,0,0
2021-02-01 05:00,1,0,1,0,0,0
2021-02-01 05:15,3,0,3,0,0,0
2021-02-01 05:30,3,0,3,0,0,0
2021-02-01 05:45,4,0,4,0,0,0
2021-02-01 06:00,5,0,5,0,0,0
2021-02-01 06:15,17,0,17,0,0,0
2021-02-01 06:30,12,0,12,0,0,0
2021-02-01 06:45,13,0,13,0,0,0
2021-02-01 07:00,23,0,23,0,0,0
2021-02-01 07:15,22,0,22,0,0,0
2021-02-01 07:30,37,0,37,0,0,0
2021-02-01 07:45,48,0,48,0,0,0
2021-02-01 08:00,36,0,36,0,0,0
2021-02-01 08:15,34,0,34,0,0,0
2021-02-01 08:30,40,0,40,0,0,0
2021-02-01 08:45,42,0,42,0,0,0
2021-02-01 09:00,34,0,34,0,0,0
2021-02-01 09:15,37,0,37,0,0,0
2021-02-01 09:30,35,0,35,0,0,0
2021-02-01 09:45,35,0,35,0,0,0
2021-02-01 10:00,21,0,21,0,0,0
2021-02-01 10:15,26,0,26,0,0,0
2021-02-01 10:30,33,0,33,0,0,0
2021-02-01 10:45,37,0,37,0,0,0
2021-02-01 11:00,28,0,28,0,0,0
2021-02-01 11:15,33,0,33,0,0,0
2021-02-01 11:30,31,0,31,0,0,0
2021-02-01 11:45,30,0,30,0,0,0
2021-02-01 12:00,41,0,41,0,0,0
2021-02-01 12:15,44,2,42,0,0,0
2021-02-01 12:30,36,0,36,0,0,0
2021-02-01 12:45,37,0,37,0,0,0
2021-02-01 13:00,38,0,38,0,0,0
2021-02-01 13:15,29,0,29,0,0,0
2021-02-01 13:30,39,0,39,0,0,0
2021-02-01 13:45,33,1,32,0,0,0
2021-02-01 14:00,50,0,50,0,0,0
2021-02-01 14:15,45,1,44,0,0,0
2021-02-01 14:30,40,1,39,0,0,0
2021-02-01 14:45,51,0,51,0,0,0
2021-02-01 15:00,42,0,42,0,0,0
2021-02-01 15:15,51,0,51,0,0,0
2021-02-01 15:30,47,0,47,0,0,0
2021-02-01 15:45,64,0,64,0,0,0
2021-02-01 16:00,67,0,67,0,0,0
2021-02-01 16:15,90,0,90,0,0,0
2021-02-01 16:30,71,0,71,0,0,0
2021-02-01 16:45,69,0,69,0,0,0
2021-02-01 17:00,83,0,83,0,0,0
2021-02-01 17:15,67,0,67,0,0,0
2021-02-01 17:30,72,0,72,0,0,0
2021-02-01 17:45,66,0,66,0,0,0
2021-02-01 18:00,71,0,71,0,0,0
2021-02-01 18:15,61,0,61,0,0,0
2021-02-01 18:30,44,0,44,0,0,0
2021-02-01 18:45,46,0,46,0,0,0
2021-02-01 19:00,59,0,59,0,0,0
2021-02-01 19:15,42,0,42,0,0,0
2021-02-01 19:30,22,0,22,0,0,0
2021-02-01 19:45,29,0,29,0,0,0
2021-02-01 20:00,36,0,36,0,0,0
2021-02-01 20:15,29,0,29,0,0,0
2021-02-01 20:30,14,0,14,0,0,0
2021-02-01 20:45,14,0,14,0,0,0
2021-02-01 21:00,22,0,22,0,0,0
2021-02-01 21:15,18,0,18,0,0,0
2021-02-01 21:30,7,0,7,0,0,0
2021-02-01 21:45,16,0,16,0,0,0
2021-02-01 22:00,12,0,12,0,0,0
2021-02-01 22:15,17,0,17,0,0,0
2021-02-01 22:30,18,0,18,0,0,0
2021-02-01 22:45,7,0,7,0,0,0
2021-02-01 23:00,9,0,9,0,0,0
2021-02-01 23:15,11,0,11,0,0,0
2021-02-01 23:30,1,0,1,0,0,0
2021-02-01 23:45,5,0,5,0,0,0
2021-02-02 00:00,7,0,7,0,0,0
2021-02-02 00:15,3,0,3,0,0,0
2021-02-02 00:30,5,0,5,0,0,0
2021-02-02 00:45,6,0,6,0,0,0
2021-02-02 01:00,0,0,0,0,0,0
2021-02-02 01:15,3,0,3,0,0,0
2021-02-02 01:30,0,0,0,0,0,0
2021-02-02 01:45,2,0,2,0,0,0
2021-02-02 02:00,1,0,1,0,0,0
2021-02-02 02:15,1,0,1,0,0,0
2021-02-02 02:30,1,0,1,0,0,0
2021-02-02 02:45,2,0,2,0,0,0
2021-02-02 03:00,0,0,0,0,0,0
2021-02-02 03:15,0,0,0,0,0,0
2021-02-02 03:30,2,0,2,0,0,0
2021-02-02 03:45,0,0,0,0,0,0
2021-02-02 04:00,0,0,0,0,0,0
2021-02-02 04:15,2,0,2,0,0,0
2021-02-02 04:30,1,0,1,0,0,0
2021-02-02 04:45,1,0,1,0,0,0
2021-02-02 05:00,1,0,1,0,0,0
2021-02-02 05:15,4,0,4,0,0,0
2021-02-02 05:30,9,0,9,0,0,0
2021-02-02 05:45,9,0,9,0,0,0
2021-02-02 06:00,8,0,8,0,0,0
2021-02-02 06:15,13,0,13,0,0,0
2021-02-02 06:30,8,0,8,0,0,0
2021-02-02 06:45,21,0,21,0,0,0
2021-02-02 07:00,19,0,19,0,0,0
2021-02-02 07:15,31,0,31,0,0,0
2021-02-02 07:30,28,0,28,0,0,0
2021-02-02 07:45,60,0,60,0,0,0
2021-02-02 08:00,42,0,42,0,0,0
2021-02-02 08:15,55,0,55,0,0,0
2021-02-02 08:30,43,0,43,0,0,0
2021-02-02 08:45,41,0,41,0,0,0
2021-02-02 09:00,25,0,25,0,0,0
2021-02-02 09:15,46,0,46,0,0,0
2021-02-02 09:30,23,0,23,0,0,0
2021-02-02 09:45,25,0,25,0,0,0
2021-02-02 10:00,27,0,27,0,0,0
