Datetime,100034983 (Warendorfer Straße),101034983 (Warendorfer Straße stadteinwärts),102034983 (Warendorfer Straße stadtauswärts),100034983-status,101034983-status,102034983-status
2021-08-01 00:00,25,16,9,0,0,0
2021-08-01 00:15,25,9,16,0,0,0
2021-08-01 00:30,23,7,16,0,0,0
2021-08-01 00:45,10,4,6,0,0,0
2021-08-01 01:00,20,8,12,0,0,0
2021-08-01 01:15,15,4,11,0,0,0
2021-08-01 01:30,12,2,10,0,0,0
2021-08-01 01:45,19,9,10,0,0,0
2021-08-01 02:00,8,3,5,0,0,0
2021-08-01 02:15,11,0,11,0,0,0
2021-08-01 02:30,22,3,19,0,0,0
2021-08-01 02:45,12,3,9,0,0,0
2021-08-01 03:00,4,2,2,0,0,0
2021-08-01 03:15,6,1,5,0,0,0
2021-08-01 03:30,11,2,9,0,0,0
2021-08-01 03:45,7,5,2,0,0,0
2021-08-01 04:00,3,1,2,0,0,0
2021-08-01 04:15,6,1,5,0,0,0
2021-08-01 04:30,4,2,2,0,0,0
2021-08-01 04:45,6,1,5,0,0,0
2021-08-01 05:00,5,2,3,0,0,0
2021-08-01 05:15,6,6,0,0,0,0
2021-08-01 05:30,7,1,6,0,0,0
2021-08-01 05:45,3,1,2,0,0,0
2021-08-01 06:00,5,4,1,0,0,0
2021-08-01 06:15,8,3,5,0,0,0
2021-08-01 06:30,7,5,2,0,0,0
2021-08-01 06:45,10,7,3,0,0,0
2021-08-01 07:00,4,3,1,0,0,0
2021-08-01 07:15,5,1,4,0,0,0
2021-08-01 07:30,7,4,3,0,0,0
2021-08-01 07:45,13,10,3,0,0,0
2021-08-01 08:00,12,8,4,0,0,0
2021-08-01 08:15,11,10,1,0,0,0
2021-08-01 08:30,13,11,2,0,0,0
2021-08-01 08:45,16,9,7,0,0,0
2021-08-01 09:00,18,14,4,0,0,0
2021-08-01 09:15,17,9,8,0,0,0
2021-08-01 09:30,32,20,12,0,0,0
2021-08-01 09:45,51,34,17,0,0,0
2021-08-01 10:00,32,20,12,0,0,0
2021-08-01 10:15,38,25,13,0,0,0
2021-08-01 10:30,38,19,19,0,0,0
2021-08-01 10:45,43,33,10,0,0,0
2021-08-01 11:00,42,26,16,0,0,0
2021-08-01 11:15,50,31,19,0,0,0
2021-08-01 11:30,52,38,14,0,0,0
2021-08-01 11:45,53,31,22,0,0,0
2021-08-01 12:00,50,33,17,0,0,0
2021-08-01 12:15,58,40,18,0,0,0
2021-08-01 12:30,44,22,22,0,0,0
2021-08-01 12:45,47,32,15,0,0,0
2021-08-01 13:00,62,46,16,0,0,0
2021-08-01 13:15,76,46,30,0,0,0
2021-08-01 13:30,64,32,32,0,0,0
2021-08-01 13:45,69,45,24,0,0,0
2021-08-01 14:00,80,58,22,0,0,0
2021-08-01 14:15,80,61,19,0,0,0
2021-08-01 14:30,67,37,30,0,0,0
2021-08-01 14:45,49,26,23,0,0,0
2021-08-01 15:00,92,62,30,0,0,0
2021-08-01 15:15,80,53,27,0,0,0
2021-08-01 15:30,60,38,22,0,0,0
2021-08-01 15:45,82,56,26,0,0,0
2021-08-01 16:00,47,30,17,0,0,0
2021-08-01 16:15,69,50,19,0,0,0
2021-08-01 16:30,93,60,33,0,0,0
2021-08-01 16:45,77,47,30,0,0,0
2021-08-01 17:00,38,20,18,0,0,0
2021-08-01 17:15,27,17,10,0,0,0
2021-08-01 17:30,78,46,32,0,0,0
2021-08-01 17:45,78,43,35,0,0,0
2021-08-01 18:00,57,25,32,0,0,0
2021-08-01 18:15,52,42,10,0,0,0
2021-08-01 18:30,33,13,20,0,0,0
2021-08-01 18:45,58,42,16,0,0,0
2021-08-01 19:00,58,44,14,0,0,0
2021-08-01 19:15,55,31,24,0,0,0
2021-08-01 19:30,27,18,9,0,0,0
2021-08-01 19:45,35,26,9,0,0,0
2021-08-01 20:00,36,27,9,0,0,0
2021-08-01 20:15,30,17,13,0,0,0
2021-08-01 20:30,24,11,13,0,0,0
2021-08-01 20:45,29,21,8,0,0,0
2021-08-01 21:00,24,10,14,0,0,0
2021-08-01 21:15,24,11,13,0,0,0
2021-08-01 21:30,28,13,15,0,0,0
2021-08-01 21:45,28,19,9,0,0,0
2021-08-01 22:00,12,8,4,0,0,0
2021-08-01 22:15,19,12,7,0,0,0
2021-08-01 22:30,26,11,15,0,0,0
2021-08-01 22:45,17,10,7,0,0,0
2021-08-01 23:00,8,5,3,0,0,0
2021-08-01 23:15,6,2,4,0,0,0
2021-08-01 23:30,12,6,6,0,0,0
2021-08-01 23:45,6,1,5,0,0,0
2021-08-02 00:00,5,1,4,0,0,0
2021-08-02 00:15,5,4,1,0,0,0
2021-08-02 00:30,3,1,2,0,0,0
2021-08-02 00:45,6,3,3,0,0,0
2021-08-02 01:00,0,0,0,0,0,0
2021-08-02 01:15,3,1,2,0,0,0
2021-08-02 01:30,1,1,0,0,0,0
2021-08-02 01:45,2,2,0,0,0,0
2021-08-02 02:00,3,2,1,0,0,0
2021-08-02 02:15,2,1,1,0,0,0
2021-08-02 02:30,4,2,2,0,0,0
2021-08-02 02:45,0,0,0,0,0,0
2021-08-02 03:00,2,0,2,0,0,0
2021-08-02 03:15,0,0,0,0,0,0
2021-08-02 03:30,0,0,0,0,0,0
2021-08-02 03:45,0,0,0,0,0,0
2021-08-02 04:00,0,0,0,0,0,0
2021-08-02 04:15,2,0,2,0,0,0
2021-08-02 04:30,0,0,0,0,0,0
2021-08-02 04:45,2,1,1,0,0,0
2021-08-02 05:00,1,1,0,0,0,0
2021-08-02 05:15,5,4,1,0,0,0
2021-08-02 05:30,18,13,5,0,0,0
2021-08-02 05:45,23,12,11,0,0,0
2021-08-02 06:00,12,9,3,0,0,0
2021-08-02 06:15,30,17,13,0,0,0
2021-08-02 06:30,37,18,19,0,0,0
2021-08-02 06:45,57,43,14,0,0,0
2021-08-02 07:00,77,48,29,0,0,0
2021-08-02 07:15,77,37,40,0,0,0
2021-08-02 07:30,119,82,37,0,0,0
2021-08-02 07:45,112,68,44,0,0,0
2021-08-02 08:00,105,72,33,0,0,0
2021-08-02 08:15,85,51,34,0,0,0
2021-08-02 08:30,91,63,28,0,0,0
2021-08-02 08:45,113,90,23,0,0,0
2021-08-02 09:00,86,64,22,0,0,0
2021-08-02 09:15,94,69,25,0,0,0
2021-08-02 09:30,83,55,28,0,0,0
2021-08-02 09:45,94,67,27,0,0,0
2021-08-02 10:00,88,59,29,0,0,0
2021-08-02 10:15,91,64,27,0,0,0
2021-08-02 10:30,92,60,32,0,0,0
2021-08-02 10:45,107,74,33,0,0,0
2021-08-02 11:00,95,62,33,0,0,0
2021-08-02 11:15,106,57,49,0,0,0
2021-08-02 11:30,105,67,38,0,0,0
2021-08-02 11:45,101,55,46,0,0,0
2021-08-02 12:00,92,63,29,0,0,0
2021-08-02 12:15,99,54,45,0,0,0
2021-08-02 12:30,125,75,50,0,0,0
2021-08-02 12:45,125,67,58,0,0,0
2021-08-02 13:00,89,57,32,0,0,0
2021-08-02 13:15,102,66,36,0,0,0
2021-08-02 13:30,77,53,24,0,0,0
2021-08-02 13:45,83,56,27,0,0,0
2021-08-02 14:00,135,85,50,0,0,0
2021-08-02 14:15,119,80,39,0,0,0
2021-08-02 14:30,106,63,43,0,0,0
2021-08-02 14:45,124,77,47,0,0,0
2021-08-02 15:00,110,69,41,0,0,0
2021-08-02 15:15,139,86,53,0,0,0
2021-08-02 15:30,124,90,34,0,0,0
2021-08-02 15:45,117,72,45,0,0,0
2021-08-02 16:00,144,92,52,0,0,0
2021-08-02 16:15,124,72,52,0,0,0
2021-08-02 16:30,148,81,67,0,0,0
2021-08-02 16:45,168,109,59,0,0,0
2021-08-02 17:00,183,108,75,0,0,0
2021-08-02 17:15,154,91,63,0,0,0
2021-08-02 17:30,156,98,58,0,0,0
2021-08-02 17:45,149,100,49,0,0,0
2021-08-02 18:00,133,65,68,0,0,0
2021-08-02 18:15,130,72,58,0,0,0
2021-08-02 18:30,92,47,45,0,0,0
2021-08-02 18:45,93,50,43,0,0,0
2021-08-02 19:00,67,34,33,0,0,0
2021-08-02 19:15,87,46,41,0,0,0
2021-08-02 19:30,71,35,36,0,0,0
2021-08-02 19:45,76,47,29,0,0,0
2021-08-02 20:00,65,40,25,0,0,0
2021-08-02 20:15,58,29,29,0,0,0
2021-08-02 20:30,54,30,24,0,0,0
2021-08-02 20:45,34,23,11,0,0,0
2021-08-02 21:00,36,21,15,0,0,0
2021-08-02 21:15,46,31,15,0,0,0
2021-08-02 21:30,32,18,14,0,0,0
2021-08-02 21:45,24,14,10,0,0,0
2021-08-02 22:00,27,15,12,0,0,0
2021-08-02 22:15,23,13,10,0,0,0
2021-08-02 22:30,29,18,11,0,0,0
2021-08-02 22:45,25,7,18,0,0,0
2021-08-02 23:00,14,10,4,0,0,0
2021-08-02 23:15,29,17,12,0,0,0
2021-08-02 23:30,15,9,6,0,0,0
2021-08-02 23:45,13,6,7,0,0,0
2021-08-03 00:00,6,5,1,0,0,0
2021-08-03 00:15,28,2,26,0,0,0
2021-08-03 00:30,8,1,7,0,0,0
2021-08-03 00:45,3,2,1,0,0,0
2021-08-03 01:00,4,2,2,0,0,0
2021-08-03 01:15,5,0,5,0,0,0
2021-08-03 01:30,8,3,5,0,0,0
2021-08-03 01:45,5,2,3,0,0,0
2021-08-03 02:00,1,1,0,0,0,0
2021-08-03 02:15,4,2,2,0,0,0
2021-08-03 02:30,2,1,1,0,0,0
2021-08-03 02:45,2,0,2,0,0,0
2021-08-03 03:00,1,0,1,0,0,0
2021-08-03 03:15,0,0,0,0,0,0
2021-08-03 03:30,1,1,0,0,0,0
2021-08-03 03:45,0,0,0,0,0,0
2021-08-03 04:00,0,0,0,0,0,0
2021-08-03 04:15,1,0,1,0,0,0
2021-08-03 04:30,3,3,0,0,0,0
2021-08-03 04:45,2,1,1,0,0,0
2021-08-03 05:00,1,0,1,0,0,0
2021-08-03 05:15,3,2,1,0,0,0
2021-08-03 05:30,16,9,7,0,0,0
2021-08-03 05:45,16,7,9,0,0,0
2021-08-03 06:00,17,9,8,0,0,0
2021-08-03 06:15,35,18,17,0,0,0
2021-08-03 06:30,54,32,22,0,0,0
2021-08-03 06:45,52,27,25,0,0,0
2021-08-03 07:00,71,47,24,0,0,0
2021-08-03 07:15,92,53,39,0,0,0
2021-08-03 07:30,109,78,31,0,0,0
2021-08-03 07:45,148,96,52,0,0,0
2021-08-03 08:00,116,84,32,0,0,0
2021-08-03 08:15,95,55,40,0,0,0
2021-08-03 08:30,85,64,21,0,0,0
2021-08-03 08:45,137,105,32,0,0,0
2021-08-03 09:00,81,55,26,0,0,0
2021-08-03 09:15,80,61,19,0,0,0
2021-08-03 09:30,72,48,24,0,0,0
2021-08-03 09:45,106,87,19,0,0,0
2021-08-03 10:00,94,66,28,0,0,0
2021-08-03 10:15,86,58,28,0,0,0
2021-08-03 10:30,87,67,20,0,0,0
2021-08-03 10:45,92,58,34,0,0,0
2021-08-03 11:00,75,46,29,0,0,0
2021-08-03 11:15,83,53,30,0,0,0
2021-08-03 11:30,120,68,52,0,0,0
2021-08-03 11:45,107,62,45,0,0,0
2021-08-03 12:00,122,82,40,0,0,0
2021-08-03 12:15,125,70,55,0,0,0
2021-08-03 12:30,113,59,54,0,0,0
2021-08-03 12:45,108,60,48,0,0,0
2021-08-03 13:00,111,68,43,0,0,0
2021-08-03 13:15,100,46,54,0,0,0
2021-08-03 13:30,103,58,45,0,0,0
2021-08-03 13:45,87,45,42,0,0,0
2021-08-03 14:00,97,71,26,0,0,0
2021-08-03 14:15,104,64,40,0,0,0
2021-08-03 14:30,109,77,32,0,0,0
2021-08-03 14:45,127,78,49,0,0,0
2021-08-03 15:00,95,65,30,0,0,0
2021-08-03 15:15,131,82,49,0,0,0
2021-08-03 15:30,128,85,43,0,0,0
2021-08-03 15:45,185,135,50,0,0,0
2021-08-03 16:00,146,102,44,0,0,0
2021-08-03 16:15,167,93,74,0,0,0
2021-08-03 16:30,167,97,70,0,0,0
2021-08-03 16:45,150,86,64,0,0,0
2021-08-03 17:00,134,63,71,0,0,0
2021-08-03 17:15,156,90,66,0,0,0
2021-08-03 17:30,156,84,72,0,0,0
2021-08-03 17:45,134,79,55,0,0,0
2021-08-03 18:00,150,80,70,0,0,0
2021-08-03 18:15,97,49,48,0,0,0
2021-08-03 18:30,114,57,57,0,0,0
2021-08-03 18:45,113,60,53,0,0,0
2021-08-03 19:00,77,37,40,0,0,0
2021-08-03 19:15,82,54,28,0,0,0
2021-08-03 19:30,71,52,19,0,0,0
2021-08-03 19:45,63,35,28,0,0,0
2021-08-03 20:00,75,40,35,0,0,0
2021-08-03 20:15,63,29,34,0,0,0
2021-08-03 20:30,61,26,35,0,0,0
2021-08-03 20:45,38,20,18,0,0,0
2021-08-03 21:00,39,17,22,0,0,0
2021-08-03 21:15,41,17,24,0,0,0
2021-08-03 21:30,30,15,15,0,0,0
2021-08-03 21:45,44,14,30,0,0,0
2021-08-03 22:00,38,26,12,0,0,0
2021-08-03 22:15,48,25,23,0,0,0
2021-08-03 22:30,39,18,21,0,0,0
2021-08-03 22:45,31,16,15,0,0,0
2021-08-03 23:00,26,10,16,0,0,0
2021-08-03 23:15,11,2,9,0,0,0
2021-08-03 23:30,23,9,14,0,0,0
2021-08-03 23:45,10,4,6,0,0,0
2021-08-04 00:00,14,5,9,0,0,0
2021-08-04 00:15,10,6,4,0,0,0
