Lfd. Nummer;Name des Flughafens;Ort;Land;IATA;ICAO;Latitude;Longitude;Altitude;Zeitzone;DST;Zeitzonen-Datenbank;geo_punkt
5936;Urmia Airport;Uromiyeh;Iran;OMH;OITR;37.6680984497;45.0686988831;1324;3.5;E;Asia/Tehran;37.6680984497, 45.0686988831
5940;Chitral Airport;Chitral;Pakistan;CJL;OPCH;35.886600494384766;71.80059814453125;1500;5.0;N;Asia/Karachi;35.886600494384766, 71.80059814453125
5942;Dera Ghazi Khan Airport;Dera Ghazi Khan;Pakistan;DEA;OPDG;29.961000442504883;70.48590087890625;150;5.0;N;Asia/Karachi;29.961000442504883, 70.48590087890625
5947;Ormara Airport;Ormara Raik;Pakistan;ORW;OPOR;25.274700164799995;64.58599853519999;3;5.0;N;Asia/Karachi;25.274700164799995, 64.58599853519999
5950;Sehwan Sharif Airport;Sehwan Sharif;Pakistan;SYW;OPSN;26.473100662231445;67.71720123291016;37;5.0;N;Asia/Karachi;26.473100662231445, 67.71720123291016
5951;Turbat International Airport;Turbat;Pakistan;TUK;OPTU;25.986400604248047;63.03020095825195;152;5.0;N;Asia/Karachi;25.986400604248047, 63.03020095825195
5952;Sulaymaniyah International Airport;Sulaymaniyah;Iraq;ISU;ORSU;35.5617485046;45.316738128699996;760;3.0;U;Asia/Baghdad;35.5617485046, 45.316738128699996
5953;Kamishly Airport;Kamishly;Syria;KAC;OSKL;37.020599365234375;41.19139862060547;451;2.0;E;Asia/Damascus;37.020599365234375, 41.19139862060547
5954;Sayun International Airport;Sayun Intl;Yemen;GXF;OYSY;15.9660997391;48.78829956049999;639;3.0;U;Asia/Aden;15.9660997391, 48.78829956049999
5959;Adak Airport;Adak Island;United States;ADK;PADK;51.87799835205078;-176.64599609375;5;-10.0;A;America/Adak;51.87799835205078, -176.64599609375
5960;Gustavus Airport;Gustavus;United States;GST;PAGS;58.4253006;-135.7070007;11;-9.0;A;America/Anchorage;58.4253006, -135.7070007
5964;Kalskag Airport;Kalskag;United States;KLG;PALG;61.53630065917969;-160.34100341796875;17;-9.0;A;America/Anchorage;61.53630065917969, -160.34100341796875
5965;McGrath Airport;Mcgrath;United States;MCG;PAMC;62.95289993;-155.6060028;104;-9.0;A;America/Anchorage;62.95289993, -155.6060028
5967;Aniak Airport;Aniak;United States;ANI;PANI;61.581600189208984;-159.54299926757812;27;-9.0;A;America/Anchorage;61.581600189208984, -159.54299926757812
5969;Wrangell Airport;Wrangell;United States;WRG;PAWG;56.48429871;-132.3699951;15;-9.0;A;America/Anchorage;56.48429871, -132.3699951
5990;Eniwetok Airport;Eniwetok Atoll;Marshall Islands;ENT;PKMA;11.340700149536133;162.3280029296875;4;12.0;U;Pacific/Majuro;11.340700149536133, 162.3280029296875
5991;Matsu Nangan Airport;Matsu Islands;Taiwan;LZN;RCFG;26.1598;119.958;71;8.0;U;Asia/Taipei;26.1598, 119.958
5996;Saga Airport;Saga;Japan;HSG;RJFS;33.149700164799995;130.302001953;2;9.0;N;Asia/Tokyo;33.149700164799995, 130.302001953
5998;Iwami Airport;Iwami;Japan;IWJ;RJOW;34.676399231;131.789993286;56;9.0;U;Asia/Tokyo;34.676399231, 131.789993286
