lfd_nr;stadtteil;standort;baumart_botanisch;baumart_deutsch;id;baumfamilie
23058;Norf;Zedernweg Grünzug (Schützenwald);Quercus robur;Eiche, Stiel;51.1492, 6.73026;Eiche
21311;Furth Süd;Adolfstr. 76 Ecke Alemannenstr.;Styphnolobium japonicum;Schnurbaum;51.2057, 6.67525;Schnurbaum
21314;Furth Süd;Karl-Arnold-Str. Ecke Josefstraße;Quercus cerris;Eiche, Zerr;51.2081, 6.68461;Eiche
21315;Furth Süd;Karl-Arnold-Str. Ecke Josefstraße;Cercis siliquastrum;Judasbaum;51.2081, 6.68462;Judasbaum
21317;Furth Süd;Römerstr. 71;Celtis australis;Zürgelbaum;51.2097, 6.6796;Zürgelbaum
21320;Furth Süd;Karl-Arnold-Str. 12-16;Prunus serrulata 'Kanzan';Kirsche, Jap Zier;51.209, 6.6847;Kirsche
21339;Furth Süd;Wolberostr. Mittelstreifen ggb. ALDI;Alnus spaethii;Erle, Purpur;51.2051, 6.67626;Erle
21340;Furth Süd;Wolberostr. 1 ggb.;Alnus spaethii;Erle, Purpur;51.2058, 6.67777;Erle
21342;Furth Süd;Further Str. 3 neben/Bahnunterführung;Acer campestre 'Elsrijk';Ahorn, Feld;51.2039, 6.68213;Ahorn
21345;Furth Süd;Josefstr. 33;Alnus spaethii;Erle, Purpur;51.2069, 6.6806;Erle
21346;Furth Süd;Römerstr. 24 Mittelstreifen;Alnus spaethii;Erle, Purpur;51.2078, 6.67933;Erle
21403;Stadionviertel;Stephanstr. 22 Grünfläche Bahnlinie;Robinia pseudoacacia 'Frisia';Robinie;51.2011, 6.67777;Robinie
21402;Stadionviertel;Stephanstr. 22 Grünfläche Bahnlinie;Robinia pseudoacacia 'Frisia';Robinie;51.2011, 6.67766;Robinie
21401;Stadionviertel;Stephanstr. 22 Grünfläche Bahnlinie;Robinia pseudoacacia 'Frisia';Robinie;51.2011, 6.67756;Robinie
21404;Stadionviertel;Stephanstr. 2 Getränke Markt/Bahn;Quercus cerris;Eiche, Zerr;51.2001, 6.67977;Eiche
21362;Innenstadt;Hermannsplatz 11 ggb.;Styphnolobium japonicum;Schnurbaum;51.1997, 6.68166;Schnurbaum
21363;Innenstadt;Hermannsplatz 15 ggb.;Styphnolobium japonicum;Schnurbaum;51.1996, 6.6821;Schnurbaum
21366;Innenstadt;Gielenstr. 35 ggb. Mittelstreifen;Fraxinus ornus;Esche, Blumen;51.2013, 6.68146;Esche
21368;Innenstadt;Gielenstr. 23 ggb. Mittelstreifen;Fraxinus ornus;Esche, Blumen;51.2019, 6.6819;Esche
21372;Innenstadt;Gielenstr. 5 Mittelstreifen Straßenbahn;Platanus acerifolia;Platane;51.2025, 6.68268;Platane
21373;Innenstadt;Gielenstr. Ecke Krefelder Str. Mittelstreifen Straßenbahn;Platanus acerifolia;Platane;51.2029, 6.68339;Platane
21374;Innenstadt;Gielenstr. Ecke Krefelder Str. Mittelstreifen Straßenbahn;Platanus acerifolia;Platane;51.203, 6.68362;Platane
21375;Innenstadt;Gielenstr. Ecke Krefelder Str. Mittelstreifen Straßenbahn;Platanus acerifolia;Platane;51.203, 6.68356;Platane
21376;Innenstadt;Gielenstr. Ecke Krefelder Str. Mittelstreifen Straßenbahn;Platanus acerifolia;Platane;51.203, 6.68345;Platane
21379;Innenstadt;Theodor-Heuss-Platz Wendeschleife Strassenbahn;Platanus acerifolia;Platane;51.2045, 6.68705;Platane
21385;Furth-Süd;Kurze Str. 35-39 dahinter Fußweg Bahndamm;Acer campestre 'Elsrijk';Ahorn, Feld;51.2026, 6.67826;Ahorn
21387;Furth-Süd;Kurze Str. 35-39 dahinter Fußweg Bahndamm;Acer campestre 'Elsrijk';Ahorn, Feld;51.2027, 6.67854;Ahorn
21393;Innenstadt;Theodor-Heuss-Platz Wendeschleife Strassenbahn;Ulmus X hollandica 'Lobel';Ulme, Schmalkronige Stadt;51.2043, 6.68692;Ulme
21400;Furth-Süd;Katharina-Braeckeler-Str. Ende vor Fußweg am Bahndamm;Malus tschonoskii;Apfel, Woll;51.2034, 6.68074;Apfel
21351;Furth Süd;Wolberostr. Mittelstreifen ggb. ALDI;Alnus spaethii;Erle, Purpur;51.2049, 6.6759;Erle
22382;Furth-Süd;Karl-Arnold-Str. zw. Josefstr. und Salzstr.;Prunus serrulata 'Kanzan';Kirsche, Jap Zier;51.2074, 6.68457;Kirsche
22390;Furth-Süd;Wingenderstr. 10;Quercus pubescens;Eiche, Flaum;51.2092, 6.68471;Eiche
22392;Furth-Süd;Wingenderstr. 8;Quercus cerris;Eiche, Zerr;51.2095, 6.68475;Eiche
22395;Furth-Süd;Wingenderstr. 8;Quercus pubescens;Eiche, Flaum;51.2097, 6.68476;Eiche
22396;Furth-Süd;Wingenderstr. 8;Quercus cerris;Eiche, Zerr;51.2098, 6.68477;Eiche
22400;Furth-Süd;Weißenberg Weg 83;Amelanchier lamarckii;Felsenbirne, Kupfer;51.2097, 6.67998;Felsenbirne
