Lfd. Nummer,Name des Flughafens,Ort,Land,IATA,ICAO,Latitude,Longitude,Altitude,Zeitzone,DST,Zeitzonen-Datenbank,geo_punkt,
8785,Sondok Airport,Hamhung,North Korea,DSO,ZKSD,39.745201,127.473999,4,8.5,U,Asia/Pyongyang,39.745201,127.473999
8798,Brackett Field,La Verne,United States,POC,KPOC,34.09159851,-117.7819977,308,-8,A,America/Los_Angeles,34.09159851,-117.7819977
8802,Oconee County Regional Airport,Clemson,United States,CEU,KCEU,34.6719017,-82.8864975,272,-5,A,America/New_York,34.6719017,-82.8864975
8804,Beech Factory Airport,Wichita,United States,BEC,KBEC,37.69449997,-97.21499634,429,-6,A,America/Chicago,37.69449997,-97.21499634
8809,Habersham County Airport,Cornelia,United States,0,KAJR,34.49990082,-83.55670166,441,-5,A,America/New_York,34.49990082,-83.55670166
8811,Georgetown Municipal Airport,Georgetown,United States,0,KGTU,30.67880058,-97.67939758,241,-6,A,America/Chicago,30.67880058,-97.67939758
8812,Old Rhinebeck Airport,Rhinebeck,United States,0,NY94,41.9715004,-73.86289978,98,-5,U,America/New_York,41.9715004,-73.86289978
8813,Duxford Aerodrome,Duxford,United Kingdom,QFO,EGSU,52.090801,0.131944,38,0,E,Europe/London,52.090801,0.131944
8822,Mount Garnet Airport,Mount Garnet,Australia,0,YMRT,-17.70000076,145.1499939,200,10,U,Australia/Brisbane,-17.70000076,145.1499939
8831,Moomba Airport,Moomba,Australia,MOO,YOOM,-28.09939957,140.1970062,44,9.5,O,Australia/Adelaide,-28.09939957,140.1970062
8834,Madison County Executive Airport-Tom Sharp Jr Field,Huntsville,United States,0,KMDQ,34.8614006,-86.55750275,230,-6,A,America/Chicago,34.8614006,-86.55750275
8838,Anoka County-Blaine (Janes Field) Airport,Anoka,United States,0,KANE,45.145,-93.211401,278,-6,U,America/Chicago,45.145,-93.211401
8839,Robinson Crusoe Airport,San Juan Bautista,Chile,0,SCIR,-33.66500092,-78.92970276,132,-4,S,America/Santiago,-33.66500092,-78.92970276
8840,Villa Airport,Maamigili,Maldives,VAM,VRMV,3.470555556,72.83583333,2,5,U,Indian/Maldives,3.470555556,72.83583333
8846,Lošinj Island Airport,Mali Losinj,Croatia,LSZ,LDLO,44.56579971,14.39309978,46,1,E,Europe/Zagreb,44.56579971,14.39309978
8850,Williamson Sodus Airport,Williamson,United States,0,KSDC,43.234699,-77.121,129,-5,A,America/New_York,43.234699,-77.121
8853,Fairoaks Airport,Fairoaks,United Kingdom,0,EGTF,51.34809875,-0.558888972,24,0,U,Europe/London,51.34809875,-0.558888972
8855,Neustadt-Glewe Airport,Neustadt-Glewe,Deutschland,0,EDAN,53.35972214,11.61527824,35,1,E,Europe/Berlin,53.35972214,11.61527824
8859,Goetsenhoven Air Base,GOETSENHOVEN,Belgium,0,EBTN,50.78170013,4.957779884,75,1,E,Europe/Brussels,50.78170013,4.957779884
8860,Tutow Airport,Wildenrath,Deutschland,0,EDUW,53.92194366,13.21888924,8,1,E,Europe/Berlin,53.92194366,13.21888924
8864,Palo Alto Airport of Santa Clara County,Palo Alto,United States,PAO,KPAO,37.46110153,-122.1149979,1,-8,A,America/Los_Angeles,37.46110153,-122.1149979
8869,Falcon Field,Mesa,United States,MSC,KFFZ,33.46080017,-111.7279968,425,-7,A,America/Phoenix,33.46080017,-111.7279968
8874,Ak-Chin Regional Airport,Phoenix,United States,0,KA39,32.990806,-111.918528,396,-7,A,America/Phoenix,32.990806,-111.918528
8877,Oakland County International Airport,Pontiac,United States,PTK,KPTK,42.66550064,-83.42009735,299,-5,A,America/New_York,42.66550064,-83.42009735
8914,Termas de Río Hondo international Airport,Rio Hondo,Argentina,RHD,SANR,-27.4966,-64.93595,285,-3,S,America/Cordoba,-27.4966,-64.93595
8925,Iowa City Municipal Airport,Iowa City,United States,IOW,KIOW,41.6391983,-91.54650116,204,-6,A,America/Chicago,41.6391983,-91.54650116
8931,Longview Ranch Airport,Longview,United States,0,OG39,44.6617012,-119.6520004,634,-8,A,America/Los_Angeles,44.6617012,-119.6520004
8932,Rothera Research Station,Rothera Research Station,United Kingdom,0,EGAR,-67.5675,-68.12740278,3,12,U,Antarctica/South_Pole,-67.5675,-68.12740278
8935,Lee Airport,Annapolis,United States,ANP,KANP,38.942902,-76.568398,10,-5,A,America/New_York,38.942902,-76.568398
8946,Zhytomyr Airport,Zhytomyr,Ukraine,ZTR,UKKV,50.270556,28.738611,0,2,E,Europe/Kiev,50.270556,28.738611
8949,Mattala Rajapaksa International Airport,Mattala,Sri Lanka,HRI,VCRI,6.284467,81.124128,48,5.5,N,Asia/Colombo,6.284467,81.124128
8951,Hattiesburg Bobby L Chain Municipal Airport,Hattiesburg,United States,HBG,KHBG,31.26479912,-89.25279999,46,-6,A,America/Chicago,31.26479912,-89.25279999
8953,Base Aérea Airport,Anapolis,Brazil,0,SBAN,-16.2292,-48.964298,1137,-3,S,America/Sao_Paulo,-16.2292,-48.964298
8974,Changhai Airport,Changhai,China,CNI,ZYCH,39.26666667,122.6669444,24,8,N,Asia/Shanghai,39.26666667,122.6669444
8975,Redhill Aerodrome,Redhill,United Kingdom,KRH,EGKR,51.21360016,-0.138611004,68,0,E,Europe/London,51.21360016,-0.138611004
8979,Jiagedaqi Airport,Jiagedaqi District,China,JGD,ZYJD,50.371389,124.1175,367,8,N,Asia/Shanghai,50.371389,124.1175
8982,Hayward Executive Airport,Hayward,United States,HWD,KHWD,37.65919876,-122.1220016,16,-8,A,America/Los_Angeles,37.65919876,-122.1220016
8989,Ann Arbor Municipal Airport,Ann Arbor,United States,ARB,KARB,42.22299957,-83.74559784,256,-5,A,America/New_York,42.22299957,-83.74559784
