Datetime,100031297 (Promenade),101031297 (Promenade Radfahrer FR Mauritztor),102031297 (Promenade Radfahrer FR Salzstraße),103031297 (Promenade Radfahrer FR Mauritztor),104031297 (Promenade Radfahrer FR Salzstraße),105031297 (Promenade Radfahrer FR Mauritztor),106031297 (Promenade Radfahrer FR Salzstraße),100031297-status,101031297-status,102031297-status,103031297-status,104031297-status,105031297-status,106031297-status
2023-04-01 00:00,65,3,25,9,9,19,0,0,0,0,0,0,0,0
2023-04-01 00:15,79,0,33,7,12,25,2,0,0,0,0,0,0,0
2023-04-01 00:30,61,0,22,8,10,18,3,0,0,0,0,0,0,0
2023-04-01 00:45,72,1,23,11,13,21,3,0,0,0,0,0,0,0
2023-04-01 01:00,43,0,18,3,7,14,1,0,0,0,0,0,0,0
2023-04-01 01:15,53,0,18,9,11,13,2,0,0,0,0,0,0,0
2023-04-01 01:30,47,1,15,10,3,17,1,0,0,0,0,0,0,0
2023-04-01 01:45,41,0,16,6,8,11,0,0,0,0,0,0,0,0
2023-04-01 02:00,52,0,17,10,5,19,1,0,0,0,0,0,0,0
2023-04-01 02:15,28,0,7,8,3,10,0,0,0,0,0,0,0,0
2023-04-01 02:30,27,4,3,7,1,11,1,0,0,0,0,0,0,0
2023-04-01 02:45,26,1,5,7,1,12,0,0,0,0,0,0,0,0
2023-04-01 03:00,24,0,5,7,0,12,0,0,0,0,0,0,0,0
2023-04-01 03:15,25,1,5,7,2,10,0,0,0,0,0,0,0,0
2023-04-01 03:30,33,2,8,6,3,14,0,0,0,0,0,0,0,0
2023-04-01 03:45,17,1,3,6,1,4,2,0,0,0,0,0,0,0
2023-04-01 04:00,12,0,2,6,0,4,0,0,0,0,0,0,0,0
2023-04-01 04:15,17,1,5,3,0,8,0,0,0,0,0,0,0,0
2023-04-01 04:30,13,0,3,7,0,3,0,0,0,0,0,0,0,0
2023-04-01 04:45,13,0,3,3,0,7,0,0,0,0,0,0,0,0
2023-04-01 05:00,12,1,4,1,0,6,0,0,0,0,0,0,0,0
2023-04-01 05:15,21,0,7,6,0,8,0,0,0,0,0,0,0,0
2023-04-01 05:30,25,0,13,3,0,8,1,0,0,0,0,0,0,0
2023-04-01 05:45,29,0,12,5,3,9,0,0,0,0,0,0,0,0
2023-04-01 06:00,12,1,2,4,1,3,1,0,0,0,0,0,0,0
2023-04-01 06:15,19,0,6,5,2,6,0,0,0,0,0,0,0,0
2023-04-01 06:30,16,1,9,2,2,2,0,0,0,0,0,0,0,0
2023-04-01 06:45,24,1,12,3,2,5,1,0,0,0,0,0,0,0
2023-04-01 07:00,9,0,8,0,0,1,0,0,0,0,0,0,0,0
2023-04-01 07:15,18,0,13,1,0,4,0,0,0,0,0,0,0,0
2023-04-01 07:30,25,0,14,4,1,6,0,0,0,0,0,0,0,0
2023-04-01 07:45,31,0,23,2,0,6,0,0,0,0,0,0,0,0
2023-04-01 08:00,20,0,11,2,2,5,0,0,0,0,0,0,0,0
2023-04-01 08:15,38,0,25,2,4,7,0,0,0,0,0,0,0,0
2023-04-01 08:30,46,0,26,4,2,14,0,0,0,0,0,0,0,0
2023-04-01 08:45,62,0,35,5,5,17,0,0,0,0,0,0,0,0
2023-04-01 09:00,41,2,23,4,3,9,0,0,0,0,0,0,0,0
2023-04-01 09:15,52,0,33,3,3,13,0,0,0,0,0,0,0,0
2023-04-01 09:30,100,1,58,7,8,25,1,0,0,0,0,0,0,0
2023-04-01 09:45,131,1,74,7,17,30,2,0,0,0,0,0,0,0
2023-04-01 10:00,69,1,45,3,8,11,1,0,0,0,0,0,0,0
2023-04-01 10:15,103,0,66,6,4,27,0,0,0,0,0,0,0,0
2023-04-01 10:30,72,0,43,8,2,18,1,0,0,0,0,0,0,0
2023-04-01 10:45,117,0,66,8,10,31,2,0,0,0,0,0,0,0
2023-04-01 11:00,87,1,49,5,8,22,2,0,0,0,0,0,0,0
2023-04-01 11:15,107,0,66,9,8,24,0,0,0,0,0,0,0,0
2023-04-01 11:30,110,2,63,10,5,30,0,0,0,0,0,0,0,0
2023-04-01 11:45,124,0,67,6,10,40,1,0,0,0,0,0,0,0
2023-04-01 12:00,116,0,62,8,12,34,0,0,0,0,0,0,0,0
2023-04-01 12:15,110,0,57,12,6,34,1,0,0,0,0,0,0,0
2023-04-01 12:30,124,0,68,8,2,44,2,0,0,0,0,0,0,0
2023-04-01 12:45,136,2,66,14,5,47,2,0,0,0,0,0,0,0
2023-04-01 13:00,123,0,54,11,5,52,1,0,0,0,0,0,0,0
2023-04-01 13:15,99,0,42,6,14,34,3,0,0,0,0,0,0,0
2023-04-01 13:30,147,1,77,13,6,50,0,0,0,0,0,0,0,0
2023-04-01 13:45,119,1,54,16,8,40,0,0,0,0,0,0,0,0
2023-04-01 14:00,92,0,37,10,9,35,1,0,0,0,0,0,0,0
2023-04-01 14:15,122,1,44,18,8,50,1,0,0,0,0,0,0,0
2023-04-01 14:30,112,2,43,12,3,52,0,0,0,0,0,0,0,0
