Datetime,100031297 (Promenade),101031297 (Promenade Radfahrer FR Mauritztor),102031297 (Promenade Radfahrer FR Salzstraße),103031297 (Promenade Radfahrer FR Mauritztor),104031297 (Promenade Radfahrer FR Salzstraße),105031297 (Promenade Radfahrer FR Mauritztor),106031297 (Promenade Radfahrer FR Salzstraße),100031297-status,101031297-status,102031297-status,103031297-status,104031297-status,105031297-status,106031297-status
2020-06-01 00:00,43,2,13,10,6,12,0,0,0,0,0,0,0,0
2020-06-01 00:15,21,1,7,3,3,7,0,0,0,0,0,0,0,0
2020-06-01 00:30,32,1,11,3,6,11,0,0,0,0,0,0,0,0
2020-06-01 00:45,37,4,9,9,1,14,0,0,0,0,0,0,0,0
2020-06-01 01:00,30,2,5,7,3,13,0,0,0,0,0,0,0,0
2020-06-01 01:15,15,0,4,1,1,9,0,0,0,0,0,0,0,0
2020-06-01 01:30,15,1,3,5,1,5,0,0,0,0,0,0,0,0
2020-06-01 01:45,17,2,6,2,3,3,1,0,0,0,0,0,0,0
2020-06-01 02:00,15,0,4,3,0,7,1,0,0,0,0,0,0,0
2020-06-01 02:15,9,1,6,0,1,1,0,0,0,0,0,0,0,0
2020-06-01 02:30,7,0,3,1,0,3,0,0,0,0,0,0,0,0
2020-06-01 02:45,10,0,3,2,2,3,0,0,0,0,0,0,0,0
2020-06-01 03:00,4,0,2,1,0,1,0,0,0,0,0,0,0,0
2020-06-01 03:15,6,0,3,0,0,3,0,0,0,0,0,0,0,0
2020-06-01 03:30,6,1,2,1,1,1,0,0,0,0,0,0,0,0
2020-06-01 03:45,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-06-01 04:00,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-06-01 04:15,6,0,2,0,2,2,0,0,0,0,0,0,0,0
2020-06-01 04:30,7,1,3,1,1,1,0,0,0,0,0,0,0,0
2020-06-01 04:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-01 05:00,2,0,0,0,0,2,0,0,0,0,0,0,0,0
2020-06-01 05:15,10,0,3,1,2,3,1,0,0,0,0,0,0,0
2020-06-01 05:30,16,0,8,3,0,5,0,0,0,0,0,0,0,0
2020-06-01 05:45,12,1,6,0,0,5,0,0,0,0,0,0,0,0
2020-06-01 06:00,7,1,1,3,0,2,0,0,0,0,0,0,0,0
2020-06-01 06:15,14,0,7,2,2,3,0,0,0,0,0,0,0,0
2020-06-01 06:30,4,0,3,0,0,1,0,0,0,0,0,0,0,0
2020-06-01 06:45,10,0,8,2,0,0,0,0,0,0,0,0,0,0
2020-06-01 07:00,9,0,5,0,1,3,0,0,0,0,0,0,0,0
2020-06-01 07:15,18,0,12,1,1,4,0,0,0,0,0,0,0,0
2020-06-01 07:30,30,0,13,3,5,8,1,0,0,0,0,0,0,0
