Datetime,100031297 (Promenade),101031297 (Promenade Radfahrer FR Mauritztor),102031297 (Promenade Radfahrer FR Salzstraße),103031297 (Promenade Radfahrer FR Mauritztor),104031297 (Promenade Radfahrer FR Salzstraße),105031297 (Promenade Radfahrer FR Mauritztor),106031297 (Promenade Radfahrer FR Salzstraße),100031297-status,101031297-status,102031297-status,103031297-status,104031297-status,105031297-status,106031297-status
2019-05-01 00:00,121,1,36,19,17,46,2,0,0,0,0,0,0,0
2019-05-01 00:15,116,4,40,24,12,34,2,0,0,0,0,0,0,0
2019-05-01 00:30,125,0,54,14,21,33,3,0,0,0,0,0,0,0
2019-05-01 00:45,125,3,39,28,12,40,3,0,0,0,0,0,0,0
2019-05-01 01:00,120,0,51,12,22,32,3,0,0,0,0,0,0,0
2019-05-01 01:15,112,2,44,13,25,28,0,0,0,0,0,0,0,0
2019-05-01 01:30,133,4,46,20,20,41,2,0,0,0,0,0,0,0
2019-05-01 01:45,90,3,29,18,13,26,1,0,0,0,0,0,0,0
2019-05-01 02:00,105,1,31,19,12,38,4,0,0,0,0,0,0,0
2019-05-01 02:15,90,0,38,13,8,29,2,0,0,0,0,0,0,0
2019-05-01 02:30,53,5,17,10,6,13,2,0,0,0,0,0,0,0
2019-05-01 02:45,53,4,11,15,3,20,0,0,0,0,0,0,0,0
2019-05-01 03:00,75,3,14,18,6,33,1,0,0,0,0,0,0,0
2019-05-01 03:15,65,0,15,14,7,29,0,0,0,0,0,0,0,0
2019-05-01 03:30,49,2,14,13,2,16,2,0,0,0,0,0,0,0
2019-05-01 03:45,43,0,15,11,4,13,0,0,0,0,0,0,0,0
2019-05-01 04:00,39,2,10,11,2,13,1,0,0,0,0,0,0,0
2019-05-01 04:15,39,4,5,12,2,16,0,0,0,0,0,0,0,0
2019-05-01 04:30,22,1,3,2,0,16,0,0,0,0,0,0,0,0
2019-05-01 04:45,24,1,3,7,1,11,1,0,0,0,0,0,0,0
2019-05-01 05:00,19,2,2,8,0,6,1,0,0,0,0,0,0,0
2019-05-01 05:15,16,1,5,3,0,7,0,0,0,0,0,0,0,0
2019-05-01 05:30,22,1,8,3,1,7,2,0,0,0,0,0,0,0
2019-05-01 05:45,14,0,7,2,0,5,0,0,0,0,0,0,0,0
2019-05-01 06:00,19,2,6,4,4,3,0,0,0,0,0,0,0,0
2019-05-01 06:15,13,1,5,3,0,4,0,0,0,0,0,0,0,0
2019-05-01 06:30,11,0,4,2,1,4,0,0,0,0,0,0,0,0
2019-05-01 06:45,24,1,12,2,1,8,0,0,0,0,0,0,0,0
2019-05-01 07:00,16,1,9,0,1,4,1,0,0,0,0,0,0,0
2019-05-01 07:15,18,0,7,2,1,8,0,0,0,0,0,0,0,0
2019-05-01 07:30,17,0,11,1,1,4,0,0,0,0,0,0,0,0
2019-05-01 07:45,39,0,28,1,2,8,0,0,0,0,0,0,0,0
2019-05-01 08:00,26,0,21,0,2,3,0,0,0,0,0,0,0,0
2019-05-01 08:15,32,0,19,1,3,9,0,0,0,0,0,0,0,0
2019-05-01 08:30,30,1,17,5,4,3,0,0,0,0,0,0,0,0
2019-05-01 08:45,49,1,24,4,3,17,0,0,0,0,0,0,0,0
2019-05-01 09:00,23,0,13,1,2,7,0,0,0,0,0,0,0,0
2019-05-01 09:15,66,0,41,4,5,15,1,0,0,0,0,0,0,0
2019-05-01 09:30,77,1,37,4,15,20,0,0,0,0,0,0,0,0
2019-05-01 09:45,114,2,54,9,21,26,2,0,0,0,0,0,0,0
2019-05-01 10:00,99,0,53,8,12,26,0,0,0,0,0,0,0,0
2019-05-01 10:15,133,2,70,11,15,33,2,0,0,0,0,0,0,0
2019-05-01 10:30,180,1,74,18,25,60,2,0,0,0,0,0,0,0
2019-05-01 10:45,208,0,98,21,28,57,4,0,0,0,0,0,0,0
