Datetime,100034980 (Hammer Straße),101034980 (Hammer Straße stadteinwärts),102034980 (Hammer Straße stadtauswärts),100034980-status,101034980-status,102034980-status
2020-08-01 00:00,49,17,32,0,0,0
2020-08-01 00:15,47,19,28,0,0,0
2020-08-01 00:30,29,7,22,0,0,0
2020-08-01 00:45,47,14,33,0,0,0
2020-08-01 01:00,33,13,20,0,0,0
2020-08-01 01:15,30,8,22,0,0,0
2020-08-01 01:30,24,13,11,0,0,0
2020-08-01 01:45,23,11,12,0,0,0
2020-08-01 02:00,27,8,19,0,0,0
2020-08-01 02:15,13,8,5,0,0,0
2020-08-01 02:30,8,5,3,0,0,0
2020-08-01 02:45,11,4,7,0,0,0
2020-08-01 03:00,4,0,4,0,0,0
2020-08-01 03:15,16,3,13,0,0,0
2020-08-01 03:30,11,5,6,0,0,0
2020-08-01 03:45,6,4,2,0,0,0
2020-08-01 04:00,1,1,0,0,0,0
2020-08-01 04:15,13,8,5,0,0,0
2020-08-01 04:30,9,4,5,0,0,0
2020-08-01 04:45,2,0,2,0,0,0
2020-08-01 05:00,5,4,1,0,0,0
2020-08-01 05:15,8,6,2,0,0,0
2020-08-01 05:30,9,6,3,0,0,0
2020-08-01 05:45,11,7,4,0,0,0
2020-08-01 06:00,3,3,0,0,0,0
2020-08-01 06:15,6,3,3,0,0,0
2020-08-01 06:30,8,6,2,0,0,0
2020-08-01 06:45,13,8,5,0,0,0
2020-08-01 07:00,10,9,1,0,0,0
2020-08-01 07:15,23,15,8,0,0,0
2020-08-01 07:30,20,12,8,0,0,0
2020-08-01 07:45,32,23,9,0,0,0
2020-08-01 08:00,33,13,20,0,0,0
2020-08-01 08:15,31,20,11,0,0,0
2020-08-01 08:30,47,29,18,0,0,0
2020-08-01 08:45,79,51,28,0,0,0
2020-08-01 09:00,48,37,11,0,0,0
2020-08-01 09:15,60,41,19,0,0,0
2020-08-01 09:30,75,55,20,0,0,0
2020-08-01 09:45,105,77,28,0,0,0
2020-08-01 10:00,102,67,35,0,0,0
