Datetime,100034980 (Hammer Straße),101034980 (Hammer Straße stadteinwärts),102034980 (Hammer Straße stadtauswärts),100034980-status,101034980-status,102034980-status
2022-12-01 00:00,18,1,17,0,0,0
2022-12-01 00:15,15,1,14,0,0,0
2022-12-01 00:30,18,3,15,0,0,0
2022-12-01 00:45,8,4,4,0,0,0
2022-12-01 01:00,3,0,3,0,0,0
2022-12-01 01:15,8,2,6,0,0,0
2022-12-01 01:30,3,0,3,0,0,0
2022-12-01 01:45,7,1,6,0,0,0
2022-12-01 02:00,3,0,3,0,0,0
2022-12-01 02:15,8,0,8,0,0,0
2022-12-01 02:30,7,1,6,0,0,0
2022-12-01 02:45,1,0,1,0,0,0
2022-12-01 03:00,3,0,3,0,0,0
2022-12-01 03:15,2,0,2,0,0,0
2022-12-01 03:30,1,0,1,0,0,0
2022-12-01 03:45,2,0,2,0,0,0
2022-12-01 04:00,1,1,0,0,0,0
2022-12-01 04:15,0,0,0,0,0,0
2022-12-01 04:30,1,1,0,0,0,0
2022-12-01 04:45,7,3,4,0,0,0
2022-12-01 05:00,4,2,2,0,0,0
2022-12-01 05:15,2,0,2,0,0,0
2022-12-01 05:30,9,4,5,0,0,0
2022-12-01 05:45,5,2,3,0,0,0
2022-12-01 06:00,14,7,7,0,0,0
2022-12-01 06:15,13,8,5,0,0,0
2022-12-01 06:30,26,10,16,0,0,0
2022-12-01 06:45,33,8,25,0,0,0
2022-12-01 07:00,44,9,35,0,0,0
2022-12-01 07:15,53,16,37,0,0,0
2022-12-01 07:30,93,36,57,0,0,0
2022-12-01 07:45,92,43,49,0,0,0
2022-12-01 08:00,80,29,51,0,0,0
2022-12-01 08:15,100,39,61,0,0,0
2022-12-01 08:30,75,26,49,0,0,0
2022-12-01 08:45,85,29,56,0,0,0
2022-12-01 09:00,53,22,31,0,0,0
2022-12-01 09:15,60,17,43,0,0,0
2022-12-01 09:30,55,19,36,0,0,0
2022-12-01 09:45,79,29,50,0,0,0
2022-12-01 10:00,43,12,31,0,0,0
2022-12-01 10:15,58,16,42,0,0,0
2022-12-01 10:30,61,17,44,0,0,0
2022-12-01 10:45,73,21,52,0,0,0
2022-12-01 11:00,70,9,61,0,0,0
2022-12-01 11:15,87,16,71,0,0,0
2022-12-01 11:30,65,20,45,0,0,0
2022-12-01 11:45,94,16,78,0,0,0
