Datetime,100034980 (Hammer Straße),101034980 (Hammer Straße stadteinwärts),102034980 (Hammer Straße stadtauswärts),100034980-status,101034980-status,102034980-status
2019-10-01 00:00,15,4,11,0,0,0
2019-10-01 00:15,24,4,20,0,0,0
2019-10-01 00:30,13,4,9,0,0,0
2019-10-01 00:45,5,2,3,0,0,0
2019-10-01 01:00,9,0,9,0,0,0
2019-10-01 01:15,5,0,5,0,0,0
2019-10-01 01:30,7,0,7,0,0,0
2019-10-01 01:45,1,1,0,0,0,0
2019-10-01 02:00,3,1,2,0,0,0
2019-10-01 02:15,3,1,2,0,0,0
2019-10-01 02:30,3,0,3,0,0,0
2019-10-01 02:45,1,1,0,0,0,0
2019-10-01 03:00,3,0,3,0,0,0
2019-10-01 03:15,2,1,1,0,0,0
2019-10-01 03:30,0,0,0,0,0,0
2019-10-01 03:45,2,0,2,0,0,0
2019-10-01 04:00,0,0,0,0,0,0
2019-10-01 04:15,2,1,1,0,0,0
2019-10-01 04:30,0,0,0,0,0,0
2019-10-01 04:45,1,0,1,0,0,0
2019-10-01 05:00,3,3,0,0,0,0
2019-10-01 05:15,3,3,0,0,0,0
2019-10-01 05:30,8,5,3,0,0,0
2019-10-01 05:45,14,11,3,0,0,0
2019-10-01 06:00,11,6,5,0,0,0
2019-10-01 06:15,32,25,7,0,0,0
2019-10-01 06:30,23,13,10,0,0,0
2019-10-01 06:45,54,33,21,0,0,0
2019-10-01 07:00,72,41,31,0,0,0
2019-10-01 07:15,97,58,39,0,0,0
2019-10-01 07:30,140,83,57,0,0,0
2019-10-01 07:45,145,101,44,0,0,0
2019-10-01 08:00,110,73,37,0,0,0
2019-10-01 08:15,134,84,50,0,0,0
2019-10-01 08:30,123,83,40,0,0,0
2019-10-01 08:45,81,56,25,0,0,0
2019-10-01 09:00,81,50,31,0,0,0
2019-10-01 09:15,65,38,27,0,0,0
2019-10-01 09:30,68,50,18,0,0,0
2019-10-01 09:45,94,60,34,0,0,0
2019-10-01 10:00,51,23,28,0,0,0
2019-10-01 10:15,31,13,18,0,0,0
2019-10-01 10:30,55,30,25,0,0,0
2019-10-01 10:45,58,23,35,0,0,0
2019-10-01 11:00,62,34,28,0,0,0
