Datetime,100034980 (Hammer Straße),101034980 (Hammer Straße stadteinwärts),102034980 (Hammer Straße stadtauswärts),100034980-status,101034980-status,102034980-status
2019-05-01 00:00,44,12,32,0,0,0
2019-05-01 00:15,78,30,48,0,0,0
2019-05-01 00:30,52,17,35,0,0,0
2019-05-01 00:45,48,11,37,0,0,0
2019-05-01 01:00,48,13,35,0,0,0
2019-05-01 01:15,54,17,37,0,0,0
2019-05-01 01:30,41,16,25,0,0,0
2019-05-01 01:45,48,8,40,0,0,0
2019-05-01 02:00,43,12,31,0,0,0
2019-05-01 02:15,31,8,23,0,0,0
2019-05-01 02:30,29,4,25,0,0,0
2019-05-01 02:45,32,6,26,0,0,0
2019-05-01 03:00,21,3,18,0,0,0
2019-05-01 03:15,18,4,14,0,0,0
2019-05-01 03:30,27,4,23,0,0,0
2019-05-01 03:45,23,3,20,0,0,0
2019-05-01 04:00,19,5,14,0,0,0
2019-05-01 04:15,10,4,6,0,0,0
2019-05-01 04:30,6,1,5,0,0,0
2019-05-01 04:45,11,2,9,0,0,0
2019-05-01 05:00,11,2,9,0,0,0
2019-05-01 05:15,3,2,1,0,0,0
2019-05-01 05:30,13,2,11,0,0,0
2019-05-01 05:45,4,3,1,0,0,0
2019-05-01 06:00,5,2,3,0,0,0
2019-05-01 06:15,10,1,9,0,0,0
2019-05-01 06:30,6,4,2,0,0,0
2019-05-01 06:45,5,1,4,0,0,0
2019-05-01 07:00,4,0,4,0,0,0
2019-05-01 07:15,8,4,4,0,0,0
2019-05-01 07:30,13,5,8,0,0,0
2019-05-01 07:45,12,6,6,0,0,0
2019-05-01 08:00,14,5,9,0,0,0
2019-05-01 08:15,17,10,7,0,0,0
2019-05-01 08:30,16,9,7,0,0,0
2019-05-01 08:45,27,18,9,0,0,0
2019-05-01 09:00,15,12,3,0,0,0
2019-05-01 09:15,17,10,7,0,0,0
2019-05-01 09:30,24,13,11,0,0,0
2019-05-01 09:45,47,35,12,0,0,0
2019-05-01 10:00,33,21,12,0,0,0
2019-05-01 10:15,39,19,20,0,0,0
2019-05-01 10:30,79,40,39,0,0,0
2019-05-01 10:45,82,57,25,0,0,0
2019-05-01 11:00,58,29,29,0,0,0
2019-05-01 11:15,61,35,26,0,0,0
2019-05-01 11:30,49,30,19,0,0,0
2019-05-01 11:45,71,46,25,0,0,0
2019-05-01 12:00,94,57,37,0,0,0
2019-05-01 12:15,62,31,31,0,0,0
2019-05-01 12:30,72,44,28,0,0,0
2019-05-01 12:45,78,46,32,0,0,0
2019-05-01 13:00,66,42,24,0,0,0
2019-05-01 13:15,80,37,43,0,0,0
2019-05-01 13:30,106,55,51,0,0,0
2019-05-01 13:45,87,54,33,0,0,0
2019-05-01 14:00,126,64,62,0,0,0
2019-05-01 14:15,99,52,47,0,0,0
2019-05-01 14:30,114,51,63,0,0,0
2019-05-01 14:45,111,49,62,0,0,0
2019-05-01 15:00,132,76,56,0,0,0
2019-05-01 15:15,111,61,50,0,0,0
2019-05-01 15:30,99,48,51,0,0,0
2019-05-01 15:45,126,45,81,0,0,0
2019-05-01 16:00,129,49,80,0,0,0
2019-05-01 16:15,177,68,109,0,0,0
2019-05-01 16:30,140,51,89,0,0,0
2019-05-01 16:45,135,50,85,0,0,0
2019-05-01 17:00,129,49,80,0,0,0
2019-05-01 17:15,111,35,76,0,0,0
2019-05-01 17:30,132,57,75,0,0,0
2019-05-01 17:45,132,55,77,0,0,0
2019-05-01 18:00,98,32,66,0,0,0
2019-05-01 18:15,97,29,68,0,0,0
2019-05-01 18:30,78,36,42,0,0,0
2019-05-01 18:45,102,25,77,0,0,0
2019-05-01 19:00,92,25,67,0,0,0
2019-05-01 19:15,77,32,45,0,0,0
2019-05-01 19:30,87,39,48,0,0,0
2019-05-01 19:45,116,51,65,0,0,0
2019-05-01 20:00,171,101,70,0,0,0
2019-05-01 20:15,189,133,56,0,0,0
2019-05-01 20:30,135,79,56,0,0,0
2019-05-01 20:45,90,42,48,0,0,0
2019-05-01 21:00,67,31,36,0,0,0
2019-05-01 21:15,56,14,42,0,0,0
2019-05-01 21:30,63,28,35,0,0,0
2019-05-01 21:45,57,22,35,0,0,0
2019-05-01 22:00,54,17,37,0,0,0
2019-05-01 22:15,24,6,18,0,0,0
2019-05-01 22:30,38,13,25,0,0,0
2019-05-01 22:45,21,13,8,0,0,0
2019-05-01 23:00,44,16,28,0,0,0
2019-05-01 23:15,36,16,20,0,0,0
2019-05-01 23:30,14,5,9,0,0,0
2019-05-01 23:45,15,5,10,0,0,0
2019-05-02 00:00,15,8,7,0,0,0
