Datetime,100034980 (Hammer Straße),101034980 (Hammer Straße stadteinwärts),102034980 (Hammer Straße stadtauswärts),100034980-status,101034980-status,102034980-status
2022-07-01 00:00,12,3,9,0,0,0
2022-07-01 00:15,16,9,7,0,0,0
2022-07-01 00:30,11,3,8,0,0,0
2022-07-01 00:45,4,0,4,0,0,0
2022-07-01 01:00,5,2,3,0,0,0
2022-07-01 01:15,2,0,2,0,0,0
2022-07-01 01:30,5,0,5,0,0,0
2022-07-01 01:45,4,2,2,0,0,0
2022-07-01 02:00,3,1,2,0,0,0
2022-07-01 02:15,4,1,3,0,0,0
2022-07-01 02:30,0,0,0,0,0,0
2022-07-01 02:45,0,0,0,0,0,0
2022-07-01 03:00,4,0,4,0,0,0
2022-07-01 03:15,2,0,2,0,0,0
2022-07-01 03:30,1,0,1,0,0,0
2022-07-01 03:45,2,1,1,0,0,0
2022-07-01 04:00,1,1,0,0,0,0
2022-07-01 04:15,1,1,0,0,0,0
2022-07-01 04:30,2,2,0,0,0,0
2022-07-01 04:45,5,4,1,0,0,0
2022-07-01 05:00,4,3,1,0,0,0
2022-07-01 05:15,10,6,4,0,0,0
2022-07-01 05:30,22,18,4,0,0,0
2022-07-01 05:45,16,11,5,0,0,0
2022-07-01 06:00,24,19,5,0,0,0
2022-07-01 06:15,23,19,4,0,0,0
2022-07-01 06:30,28,13,15,0,0,0
2022-07-01 06:45,34,19,15,0,0,0
2022-07-01 07:00,50,31,19,0,0,0
2022-07-01 07:15,76,53,23,0,0,0
2022-07-01 07:30,89,52,37,0,0,0
2022-07-01 07:45,133,88,45,0,0,0
2022-07-01 08:00,101,69,32,0,0,0
2022-07-01 08:15,105,74,31,0,0,0
2022-07-01 08:30,114,82,32,0,0,0
2022-07-01 08:45,147,111,36,0,0,0
2022-07-01 09:00,96,62,34,0,0,0
2022-07-01 09:15,96,65,31,0,0,0
2022-07-01 09:30,94,66,28,0,0,0
2022-07-01 09:45,108,73,35,0,0,0
2022-07-01 10:00,97,56,41,0,0,0
2022-07-01 10:15,104,71,33,0,0,0
2022-07-01 10:30,91,53,38,0,0,0
2022-07-01 10:45,128,75,53,0,0,0
2022-07-01 11:00,125,62,63,0,0,0
2022-07-01 11:15,122,58,64,0,0,0
2022-07-01 11:30,126,67,59,0,0,0
2022-07-01 11:45,179,87,92,0,0,0
2022-07-01 12:00,162,68,94,0,0,0
2022-07-01 12:15,165,81,84,0,0,0
2022-07-01 12:30,154,70,84,0,0,0
2022-07-01 12:45,145,65,80,0,0,0
2022-07-01 13:00,145,54,91,0,0,0
2022-07-01 13:15,162,70,92,0,0,0
2022-07-01 13:30,131,52,79,0,0,0
2022-07-01 13:45,166,82,84,0,0,0
2022-07-01 14:00,153,69,84,0,0,0
2022-07-01 14:15,165,66,99,0,0,0
2022-07-01 14:30,142,66,76,0,0,0
2022-07-01 14:45,172,78,94,0,0,0
2022-07-01 15:00,178,85,93,0,0,0
2022-07-01 15:15,163,66,97,0,0,0
2022-07-01 15:30,174,82,92,0,0,0
2022-07-01 15:45,174,77,97,0,0,0
2022-07-01 16:00,149,66,83,0,0,0
2022-07-01 16:15,136,45,91,0,0,0
2022-07-01 16:30,151,67,84,0,0,0
2022-07-01 16:45,157,75,82,0,0,0
2022-07-01 17:00,163,60,103,0,0,0
2022-07-01 17:15,147,53,94,0,0,0
2022-07-01 17:30,161,65,96,0,0,0
2022-07-01 17:45,149,65,84,0,0,0
2022-07-01 18:00,148,65,83,0,0,0
2022-07-01 18:15,158,56,102,0,0,0
2022-07-01 18:30,119,45,74,0,0,0
2022-07-01 18:45,144,69,75,0,0,0
2022-07-01 19:00,131,57,74,0,0,0
2022-07-01 19:15,129,39,90,0,0,0
2022-07-01 19:30,110,39,71,0,0,0
2022-07-01 19:45,119,49,70,0,0,0
2022-07-01 20:00,98,31,67,0,0,0
2022-07-01 20:15,77,35,42,0,0,0
2022-07-01 20:30,55,21,34,0,0,0
2022-07-01 20:45,77,38,39,0,0,0
2022-07-01 21:00,76,25,51,0,0,0
2022-07-01 21:15,57,30,27,0,0,0
2022-07-01 21:30,50,20,30,0,0,0
2022-07-01 21:45,45,19,26,0,0,0
2022-07-01 22:00,67,26,41,0,0,0
2022-07-01 22:15,48,10,38,0,0,0
2022-07-01 22:30,56,15,41,0,0,0
2022-07-01 22:45,52,14,38,0,0,0
2022-07-01 23:00,53,15,38,0,0,0
2022-07-01 23:15,36,13,23,0,0,0
2022-07-01 23:30,51,25,26,0,0,0
2022-07-01 23:45,45,23,22,0,0,0
2022-07-02 00:00,50,25,25,0,0,0
2022-07-02 00:15,41,13,28,0,0,0
2022-07-02 00:30,24,12,12,0,0,0
2022-07-02 00:45,25,8,17,0,0,0
2022-07-02 01:00,31,10,21,0,0,0
2022-07-02 01:15,17,8,9,0,0,0
2022-07-02 01:30,22,7,15,0,0,0
2022-07-02 01:45,18,8,10,0,0,0
2022-07-02 02:00,9,1,8,0,0,0
2022-07-02 02:15,13,1,12,0,0,0
2022-07-02 02:30,14,5,9,0,0,0
2022-07-02 02:45,16,1,15,0,0,0
2022-07-02 03:00,13,9,4,0,0,0
2022-07-02 03:15,10,5,5,0,0,0
2022-07-02 03:30,6,4,2,0,0,0
2022-07-02 03:45,4,2,2,0,0,0
2022-07-02 04:00,4,0,4,0,0,0
2022-07-02 04:15,5,0,5,0,0,0
2022-07-02 04:30,1,0,1,0,0,0
2022-07-02 04:45,8,6,2,0,0,0
2022-07-02 05:00,1,0,1,0,0,0
2022-07-02 05:15,6,2,4,0,0,0
2022-07-02 05:30,14,4,10,0,0,0
2022-07-02 05:45,11,7,4,0,0,0
2022-07-02 06:00,8,5,3,0,0,0
2022-07-02 06:15,7,4,3,0,0,0
2022-07-02 06:30,8,6,2,0,0,0
2022-07-02 06:45,15,7,8,0,0,0
2022-07-02 07:00,10,7,3,0,0,0
2022-07-02 07:15,16,12,4,0,0,0
2022-07-02 07:30,25,14,11,0,0,0
2022-07-02 07:45,38,23,15,0,0,0
2022-07-02 08:00,26,13,13,0,0,0
2022-07-02 08:15,42,27,15,0,0,0
2022-07-02 08:30,53,35,18,0,0,0
2022-07-02 08:45,70,46,24,0,0,0
2022-07-02 09:00,55,36,19,0,0,0
2022-07-02 09:15,69,49,20,0,0,0
2022-07-02 09:30,86,54,32,0,0,0
2022-07-02 09:45,125,91,34,0,0,0
2022-07-02 10:00,97,72,25,0,0,0
2022-07-02 10:15,105,70,35,0,0,0
2022-07-02 10:30,100,67,33,0,0,0
2022-07-02 10:45,128,83,45,0,0,0
2022-07-02 11:00,163,89,74,0,0,0
2022-07-02 11:15,140,80,60,0,0,0
2022-07-02 11:30,146,77,69,0,0,0
2022-07-02 11:45,164,86,78,0,0,0
2022-07-02 12:00,158,81,77,0,0,0
2022-07-02 12:15,153,74,79,0,0,0
2022-07-02 12:30,122,60,62,0,0,0
2022-07-02 12:45,179,75,104,0,0,0
2022-07-02 13:00,147,67,80,0,0,0
2022-07-02 13:15,129,58,71,0,0,0
2022-07-02 13:30,141,70,71,0,0,0
2022-07-02 13:45,176,86,90,0,0,0
2022-07-02 14:00,155,78,77,0,0,0
2022-07-02 14:15,178,76,102,0,0,0
2022-07-02 14:30,134,45,89,0,0,0
2022-07-02 14:45,184,67,117,0,0,0
2022-07-02 15:00,158,59,99,0,0,0
2022-07-02 15:15,154,37,117,0,0,0
2022-07-02 15:30,118,51,67,0,0,0
2022-07-02 15:45,133,59,74,0,0,0
2022-07-02 16:00,117,40,77,0,0,0
2022-07-02 16:15,134,57,77,0,0,0
2022-07-02 16:30,116,49,67,0,0,0
2022-07-02 16:45,118,49,69,0,0,0
2022-07-02 17:00,111,49,62,0,0,0
2022-07-02 17:15,99,38,61,0,0,0
2022-07-02 17:30,116,57,59,0,0,0
2022-07-02 17:45,148,64,84,0,0,0
2022-07-02 18:00,142,52,90,0,0,0
2022-07-02 18:15,128,53,75,0,0,0
2022-07-02 18:30,106,44,62,0,0,0
2022-07-02 18:45,111,46,65,0,0,0
2022-07-02 19:00,108,35,73,0,0,0
2022-07-02 19:15,111,52,59,0,0,0
2022-07-02 19:30,101,35,66,0,0,0
2022-07-02 19:45,95,38,57,0,0,0
2022-07-02 20:00,69,28,41,0,0,0
2022-07-02 20:15,56,12,44,0,0,0
2022-07-02 20:30,62,29,33,0,0,0
2022-07-02 20:45,77,27,50,0,0,0
2022-07-02 21:00,58,21,37,0,0,0
2022-07-02 21:15,56,25,31,0,0,0
2022-07-02 21:30,62,24,38,0,0,0
2022-07-02 21:45,54,17,37,0,0,0
2022-07-02 22:00,45,12,33,0,0,0
2022-07-02 22:15,54,18,36,0,0,0
2022-07-02 22:30,39,19,20,0,0,0
2022-07-02 22:45,68,29,39,0,0,0
2022-07-02 23:00,43,20,23,0,0,0
2022-07-02 23:15,44,23,21,0,0,0
2022-07-02 23:30,49,17,32,0,0,0
2022-07-02 23:45,42,12,30,0,0,0
2022-07-03 00:00,30,7,23,0,0,0
2022-07-03 00:15,39,7,32,0,0,0
2022-07-03 00:30,47,19,28,0,0,0
2022-07-03 00:45,24,13,11,0,0,0
2022-07-03 01:00,32,13,19,0,0,0
2022-07-03 01:15,33,14,19,0,0,0
2022-07-03 01:30,22,10,12,0,0,0
2022-07-03 01:45,15,9,6,0,0,0
2022-07-03 02:00,14,2,12,0,0,0
2022-07-03 02:15,11,2,9,0,0,0
2022-07-03 02:30,19,8,11,0,0,0
2022-07-03 02:45,11,7,4,0,0,0
2022-07-03 03:00,9,3,6,0,0,0
2022-07-03 03:15,16,1,15,0,0,0
2022-07-03 03:30,5,2,3,0,0,0
2022-07-03 03:45,3,0,3,0,0,0
2022-07-03 04:00,3,1,2,0,0,0
2022-07-03 04:15,11,3,8,0,0,0
2022-07-03 04:30,1,1,0,0,0,0
2022-07-03 04:45,1,0,1,0,0,0
2022-07-03 05:00,0,0,0,0,0,0
2022-07-03 05:15,2,2,0,0,0,0
2022-07-03 05:30,11,4,7,0,0,0
2022-07-03 05:45,7,4,3,0,0,0
2022-07-03 06:00,4,4,0,0,0,0
2022-07-03 06:15,8,6,2,0,0,0
2022-07-03 06:30,5,4,1,0,0,0
2022-07-03 06:45,5,5,0,0,0,0
2022-07-03 07:00,4,1,3,0,0,0
2022-07-03 07:15,6,4,2,0,0,0
2022-07-03 07:30,14,11,3,0,0,0
2022-07-03 07:45,6,6,0,0,0,0
2022-07-03 08:00,9,6,3,0,0,0
2022-07-03 08:15,11,8,3,0,0,0
2022-07-03 08:30,17,9,8,0,0,0
2022-07-03 08:45,20,14,6,0,0,0
2022-07-03 09:00,25,21,4,0,0,0
2022-07-03 09:15,26,19,7,0,0,0
2022-07-03 09:30,36,23,13,0,0,0
2022-07-03 09:45,51,27,24,0,0,0
2022-07-03 10:00,43,30,13,0,0,0
2022-07-03 10:15,30,15,15,0,0,0
2022-07-03 10:30,47,26,21,0,0,0
2022-07-03 10:45,37,25,12,0,0,0
2022-07-03 11:00,40,19,21,0,0,0
2022-07-03 11:15,56,30,26,0,0,0
2022-07-03 11:30,58,24,34,0,0,0
2022-07-03 11:45,44,22,22,0,0,0
2022-07-03 12:00,69,31,38,0,0,0
2022-07-03 12:15,37,25,12,0,0,0
2022-07-03 12:30,56,22,34,0,0,0
2022-07-03 12:45,70,43,27,0,0,0
2022-07-03 13:00,54,34,20,0,0,0
