Datetime,100034978 (Gartenstraße),101034978 (Gartenstraße einwärts),102034978 (Gartenstraße auswärts),100034978-status,101034978-status,102034978-status
2022-05-01 00:00,6,6,0,0,0,0
2022-05-01 00:15,10,2,8,0,0,0
2022-05-01 00:30,16,4,12,0,0,0
2022-05-01 00:45,13,2,11,0,0,0
2022-05-01 01:00,8,6,2,0,0,0
2022-05-01 01:15,4,4,0,0,0,0
2022-05-01 01:30,9,2,7,0,0,0
2022-05-01 01:45,8,3,5,0,0,0
2022-05-01 02:00,7,4,3,0,0,0
2022-05-01 02:15,6,2,4,0,0,0
2022-05-01 02:30,5,2,3,0,0,0
2022-05-01 02:45,3,1,2,0,0,0
2022-05-01 03:00,3,1,2,0,0,0
2022-05-01 03:15,8,1,7,0,0,0
2022-05-01 03:30,4,1,3,0,0,0
2022-05-01 03:45,6,5,1,0,0,0
2022-05-01 04:00,4,0,4,0,0,0
2022-05-01 04:15,1,0,1,0,0,0
2022-05-01 04:30,1,1,0,0,0,0
2022-05-01 04:45,2,0,2,0,0,0
2022-05-01 05:00,0,0,0,0,0,0
2022-05-01 05:15,1,0,1,0,0,0
2022-05-01 05:30,2,2,0,0,0,0
2022-05-01 05:45,2,2,0,0,0,0
2022-05-01 06:00,0,0,0,0,0,0
2022-05-01 06:15,3,3,0,0,0,0
2022-05-01 06:30,3,0,3,0,0,0
2022-05-01 06:45,3,1,2,0,0,0
2022-05-01 07:00,2,2,0,0,0,0
2022-05-01 07:15,1,1,0,0,0,0
2022-05-01 07:30,1,1,0,0,0,0
2022-05-01 07:45,6,5,1,0,0,0
2022-05-01 08:00,3,3,0,0,0,0
2022-05-01 08:15,3,2,1,0,0,0
2022-05-01 08:30,1,0,1,0,0,0
2022-05-01 08:45,8,6,2,0,0,0
2022-05-01 09:00,15,11,4,0,0,0
2022-05-01 09:15,6,3,3,0,0,0
2022-05-01 09:30,14,8,6,0,0,0
2022-05-01 09:45,20,18,2,0,0,0
2022-05-01 10:00,18,6,12,0,0,0
2022-05-01 10:15,19,16,3,0,0,0
2022-05-01 10:30,17,12,5,0,0,0
2022-05-01 10:45,20,15,5,0,0,0
2022-05-01 11:00,23,16,7,0,0,0
2022-05-01 11:15,22,13,9,0,0,0
2022-05-01 11:30,29,13,16,0,0,0
2022-05-01 11:45,35,22,13,0,0,0
2022-05-01 12:00,24,13,11,0,0,0
2022-05-01 12:15,26,19,7,0,0,0
2022-05-01 12:30,23,16,7,0,0,0
2022-05-01 12:45,33,19,14,0,0,0
2022-05-01 13:00,31,12,19,0,0,0
2022-05-01 13:15,41,14,27,0,0,0
2022-05-01 13:30,37,19,18,0,0,0
2022-05-01 13:45,36,20,16,0,0,0
2022-05-01 14:00,36,24,12,0,0,0
2022-05-01 14:15,48,26,22,0,0,0
2022-05-01 14:30,58,39,19,0,0,0
2022-05-01 14:45,48,22,26,0,0,0
2022-05-01 15:00,43,21,22,0,0,0
2022-05-01 15:15,53,25,28,0,0,0
2022-05-01 15:30,44,24,20,0,0,0
2022-05-01 15:45,50,34,16,0,0,0
2022-05-01 16:00,71,37,34,0,0,0
2022-05-01 16:15,27,11,16,0,0,0
2022-05-01 16:30,46,35,11,0,0,0
2022-05-01 16:45,50,28,22,0,0,0
2022-05-01 17:00,40,13,27,0,0,0
2022-05-01 17:15,32,14,18,0,0,0
2022-05-01 17:30,41,25,16,0,0,0
2022-05-01 17:45,43,21,22,0,0,0
2022-05-01 18:00,42,28,14,0,0,0
2022-05-01 18:15,26,12,14,0,0,0
2022-05-01 18:30,30,18,12,0,0,0
2022-05-01 18:45,42,20,22,0,0,0
2022-05-01 19:00,36,26,10,0,0,0
2022-05-01 19:15,16,8,8,0,0,0
2022-05-01 19:30,17,7,10,0,0,0
2022-05-01 19:45,17,14,3,0,0,0
2022-05-01 20:00,17,9,8,0,0,0
2022-05-01 20:15,19,9,10,0,0,0
2022-05-01 20:30,23,5,18,0,0,0
2022-05-01 20:45,15,8,7,0,0,0
2022-05-01 21:00,23,6,17,0,0,0
2022-05-01 21:15,13,11,2,0,0,0
2022-05-01 21:30,11,2,9,0,0,0
2022-05-01 21:45,17,11,6,0,0,0
2022-05-01 22:00,9,2,7,0,0,0
2022-05-01 22:15,13,5,8,0,0,0
2022-05-01 22:30,8,3,5,0,0,0
2022-05-01 22:45,1,1,0,0,0,0
2022-05-01 23:00,11,1,10,0,0,0
2022-05-01 23:15,8,0,8,0,0,0
2022-05-01 23:30,0,0,0,0,0,0
2022-05-01 23:45,2,2,0,0,0,0
2022-05-02 00:00,1,0,1,0,0,0
2022-05-02 00:15,2,0,2,0,0,0
2022-05-02 00:30,1,0,1,0,0,0
2022-05-02 00:45,2,0,2,0,0,0
2022-05-02 01:00,2,0,2,0,0,0
2022-05-02 01:15,0,0,0,0,0,0
2022-05-02 01:30,0,0,0,0,0,0
2022-05-02 01:45,1,1,0,0,0,0
2022-05-02 02:00,2,1,1,0,0,0
2022-05-02 02:15,0,0,0,0,0,0
2022-05-02 02:30,1,0,1,0,0,0
2022-05-02 02:45,0,0,0,0,0,0
2022-05-02 03:00,1,0,1,0,0,0
2022-05-02 03:15,2,2,0,0,0,0
2022-05-02 03:30,2,0,2,0,0,0
2022-05-02 03:45,2,2,0,0,0,0
2022-05-02 04:00,1,1,0,0,0,0
2022-05-02 04:15,6,4,2,0,0,0
2022-05-02 04:30,1,1,0,0,0,0
2022-05-02 04:45,3,3,0,0,0,0
2022-05-02 05:00,1,1,0,0,0,0
2022-05-02 05:15,1,0,1,0,0,0
2022-05-02 05:30,9,6,3,0,0,0
2022-05-02 05:45,16,5,11,0,0,0
2022-05-02 06:00,16,8,8,0,0,0
2022-05-02 06:15,20,10,10,0,0,0
2022-05-02 06:30,38,23,15,0,0,0
2022-05-02 06:45,35,14,21,0,0,0
2022-05-02 07:00,50,33,17,0,0,0
2022-05-02 07:15,85,62,23,0,0,0
2022-05-02 07:30,145,108,37,0,0,0
2022-05-02 07:45,90,60,30,0,0,0
2022-05-02 08:00,72,53,19,0,0,0
2022-05-02 08:15,76,56,20,0,0,0
2022-05-02 08:30,75,58,17,0,0,0
2022-05-02 08:45,58,39,19,0,0,0
2022-05-02 09:00,48,26,22,0,0,0
2022-05-02 09:15,34,25,9,0,0,0
2022-05-02 09:30,44,32,12,0,0,0
2022-05-02 09:45,43,34,9,0,0,0
2022-05-02 10:00,41,34,7,0,0,0
2022-05-02 10:15,30,19,11,0,0,0
2022-05-02 10:30,31,18,13,0,0,0
2022-05-02 10:45,41,25,16,0,0,0
2022-05-02 11:00,25,19,6,0,0,0
2022-05-02 11:15,27,14,13,0,0,0
2022-05-02 11:30,30,18,12,0,0,0
2022-05-02 11:45,50,23,27,0,0,0
2022-05-02 12:00,55,34,21,0,0,0
2022-05-02 12:15,58,34,24,0,0,0
2022-05-02 12:30,52,22,30,0,0,0
2022-05-02 12:45,58,33,25,0,0,0
2022-05-02 13:00,60,25,35,0,0,0
2022-05-02 13:15,60,25,35,0,0,0
2022-05-02 13:30,39,19,20,0,0,0
2022-05-02 13:45,78,34,44,0,0,0
2022-05-02 14:00,58,32,26,0,0,0
2022-05-02 14:15,63,39,24,0,0,0
2022-05-02 14:30,53,31,22,0,0,0
2022-05-02 14:45,75,40,35,0,0,0
2022-05-02 15:00,87,48,39,0,0,0
2022-05-02 15:15,60,24,36,0,0,0
2022-05-02 15:30,80,36,44,0,0,0
2022-05-02 15:45,91,45,46,0,0,0
2022-05-02 16:00,119,66,53,0,0,0
2022-05-02 16:15,91,50,41,0,0,0
2022-05-02 16:30,102,50,52,0,0,0
2022-05-02 16:45,96,51,45,0,0,0
2022-05-02 17:00,88,40,48,0,0,0
2022-05-02 17:15,104,49,55,0,0,0
2022-05-02 17:30,67,29,38,0,0,0
2022-05-02 17:45,84,44,40,0,0,0
2022-05-02 18:00,69,34,35,0,0,0
2022-05-02 18:15,85,30,55,0,0,0
2022-05-02 18:30,63,33,30,0,0,0
2022-05-02 18:45,58,33,25,0,0,0
2022-05-02 19:00,72,40,32,0,0,0
2022-05-02 19:15,51,25,26,0,0,0
2022-05-02 19:30,47,29,18,0,0,0
2022-05-02 19:45,43,18,25,0,0,0
2022-05-02 20:00,28,15,13,0,0,0
2022-05-02 20:15,36,13,23,0,0,0
2022-05-02 20:30,23,10,13,0,0,0
2022-05-02 20:45,26,12,14,0,0,0
2022-05-02 21:00,27,10,17,0,0,0
2022-05-02 21:15,31,12,19,0,0,0
2022-05-02 21:30,19,6,13,0,0,0
2022-05-02 21:45,27,11,16,0,0,0
2022-05-02 22:00,25,12,13,0,0,0
2022-05-02 22:15,12,6,6,0,0,0
2022-05-02 22:30,14,4,10,0,0,0
2022-05-02 22:45,20,3,17,0,0,0
2022-05-02 23:00,6,0,6,0,0,0
2022-05-02 23:15,7,2,5,0,0,0
2022-05-02 23:30,1,0,1,0,0,0
2022-05-02 23:45,4,1,3,0,0,0
2022-05-03 00:00,6,1,5,0,0,0
2022-05-03 00:15,2,2,0,0,0,0
2022-05-03 00:30,3,0,3,0,0,0
2022-05-03 00:45,1,1,0,0,0,0
2022-05-03 01:00,1,1,0,0,0,0
2022-05-03 01:15,0,0,0,0,0,0
2022-05-03 01:30,1,0,1,0,0,0
2022-05-03 01:45,1,1,0,0,0,0
2022-05-03 02:00,0,0,0,0,0,0
2022-05-03 02:15,1,0,1,0,0,0
2022-05-03 02:30,2,0,2,0,0,0
2022-05-03 02:45,0,0,0,0,0,0
2022-05-03 03:00,2,0,2,0,0,0
2022-05-03 03:15,1,0,1,0,0,0
