Datetime,100034978 (Gartenstraße),101034978 (Gartenstraße einwärts),102034978 (Gartenstraße auswärts),100034978-status,101034978-status,102034978-status
2021-05-01 00:00,10,3,7,0,0,0
2021-05-01 00:15,4,2,2,0,0,0
2021-05-01 00:30,4,3,1,0,0,0
2021-05-01 00:45,2,2,0,0,0,0
2021-05-01 01:00,1,0,1,0,0,0
2021-05-01 01:15,5,2,3,0,0,0
2021-05-01 01:30,2,1,1,0,0,0
2021-05-01 01:45,3,0,3,0,0,0
2021-05-01 02:00,1,0,1,0,0,0
2021-05-01 02:15,2,1,1,0,0,0
2021-05-01 02:30,1,0,1,0,0,0
2021-05-01 02:45,2,0,2,0,0,0
2021-05-01 03:00,1,0,1,0,0,0
2021-05-01 03:15,3,2,1,0,0,0
2021-05-01 03:30,0,0,0,0,0,0
2021-05-01 03:45,1,0,1,0,0,0
2021-05-01 04:00,1,1,0,0,0,0
2021-05-01 04:15,0,0,0,0,0,0
2021-05-01 04:30,0,0,0,0,0,0
2021-05-01 04:45,3,2,1,0,0,0
2021-05-01 05:00,3,0,3,0,0,0
2021-05-01 05:15,1,1,0,0,0,0
2021-05-01 05:30,3,2,1,0,0,0
2021-05-01 05:45,1,1,0,0,0,0
2021-05-01 06:00,1,1,0,0,0,0
2021-05-01 06:15,3,1,2,0,0,0
2021-05-01 06:30,2,0,2,0,0,0
2021-05-01 06:45,0,0,0,0,0,0
2021-05-01 07:00,3,2,1,0,0,0
2021-05-01 07:15,2,2,0,0,0,0
2021-05-01 07:30,1,1,0,0,0,0
2021-05-01 07:45,1,0,1,0,0,0
2021-05-01 08:00,4,3,1,0,0,0
2021-05-01 08:15,2,1,1,0,0,0
2021-05-01 08:30,7,7,0,0,0,0
2021-05-01 08:45,7,4,3,0,0,0
2021-05-01 09:00,7,4,3,0,0,0
2021-05-01 09:15,6,4,2,0,0,0
2021-05-01 09:30,9,4,5,0,0,0
2021-05-01 09:45,9,5,4,0,0,0
2021-05-01 10:00,16,8,8,0,0,0
2021-05-01 10:15,19,8,11,0,0,0
2021-05-01 10:30,23,13,10,0,0,0
2021-05-01 10:45,26,12,14,0,0,0
2021-05-01 11:00,18,8,10,0,0,0
2021-05-01 11:15,25,17,8,0,0,0
2021-05-01 11:30,19,7,12,0,0,0
2021-05-01 11:45,26,13,13,0,0,0
2021-05-01 12:00,21,13,8,0,0,0
