Datetime,100034978 (Gartenstraße),101034978 (Gartenstraße einwärts),102034978 (Gartenstraße auswärts),100034978-status,101034978-status,102034978-status
2019-09-01 00:00,11,5,6,0,0,0
2019-09-01 00:15,8,4,4,0,0,0
2019-09-01 00:30,6,4,2,0,0,0
2019-09-01 00:45,16,6,10,0,0,0
2019-09-01 01:00,5,2,3,0,0,0
2019-09-01 01:15,13,1,12,0,0,0
2019-09-01 01:30,10,4,6,0,0,0
2019-09-01 01:45,7,0,7,0,0,0
2019-09-01 02:00,19,5,14,0,0,0
2019-09-01 02:15,1,1,0,0,0,0
2019-09-01 02:30,3,0,3,0,0,0
2019-09-01 02:45,5,0,5,0,0,0
2019-09-01 03:00,2,0,2,0,0,0
2019-09-01 03:15,0,0,0,0,0,0
2019-09-01 03:30,8,4,4,0,0,0
2019-09-01 03:45,0,0,0,0,0,0
2019-09-01 04:00,0,0,0,0,0,0
2019-09-01 04:15,3,3,0,0,0,0
2019-09-01 04:30,1,1,0,0,0,0
2019-09-01 04:45,3,2,1,0,0,0
2019-09-01 05:00,0,0,0,0,0,0
2019-09-01 05:15,5,2,3,0,0,0
2019-09-01 05:30,3,1,2,0,0,0
2019-09-01 05:45,1,1,0,0,0,0
2019-09-01 06:00,3,1,2,0,0,0
2019-09-01 06:15,2,2,0,0,0,0
2019-09-01 06:30,2,2,0,0,0,0
2019-09-01 06:45,4,2,2,0,0,0
2019-09-01 07:00,6,3,3,0,0,0
2019-09-01 07:15,2,2,0,0,0,0
2019-09-01 07:30,3,2,1,0,0,0
2019-09-01 07:45,3,3,0,0,0,0
2019-09-01 08:00,4,2,2,0,0,0
2019-09-01 08:15,2,1,1,0,0,0
2019-09-01 08:30,5,3,2,0,0,0
2019-09-01 08:45,9,9,0,0,0,0
2019-09-01 09:00,8,6,2,0,0,0
2019-09-01 09:15,3,0,3,0,0,0
2019-09-01 09:30,9,5,4,0,0,0
2019-09-01 09:45,16,7,9,0,0,0
2019-09-01 10:00,6,3,3,0,0,0
2019-09-01 10:15,15,9,6,0,0,0
2019-09-01 10:30,13,8,5,0,0,0
2019-09-01 10:45,19,15,4,0,0,0
2019-09-01 11:00,14,8,6,0,0,0
2019-09-01 11:15,19,10,9,0,0,0
2019-09-01 11:30,30,23,7,0,0,0
2019-09-01 11:45,11,6,5,0,0,0
2019-09-01 12:00,20,10,10,0,0,0
2019-09-01 12:15,21,11,10,0,0,0
2019-09-01 12:30,15,6,9,0,0,0
2019-09-01 12:45,16,10,6,0,0,0
2019-09-01 13:00,26,9,17,0,0,0
2019-09-01 13:15,22,8,14,0,0,0
2019-09-01 13:30,11,7,4,0,0,0
2019-09-01 13:45,36,16,20,0,0,0
