Datetime,100034982 (Hüfferstraße),101034982 (Hüfferstraße stadteinwärts),102034982 (Hüfferstraße stadtauswärts),100034982-status,101034982-status,102034982-status
2021-02-01 00:00,0,0,0,0,0,0
2021-02-01 00:15,3,0,3,0,0,0
2021-02-01 00:30,1,0,1,0,0,0
2021-02-01 00:45,2,0,2,0,0,0
2021-02-01 01:00,2,1,1,0,0,0
2021-02-01 01:15,1,1,0,0,0,0
2021-02-01 01:30,0,0,0,0,0,0
2021-02-01 01:45,1,0,1,0,0,0
2021-02-01 02:00,1,0,1,0,0,0
2021-02-01 02:15,0,0,0,0,0,0
2021-02-01 02:30,0,0,0,0,0,0
2021-02-01 02:45,0,0,0,0,0,0
2021-02-01 03:00,0,0,0,0,0,0
2021-02-01 03:15,0,0,0,0,0,0
2021-02-01 03:30,0,0,0,0,0,0
2021-02-01 03:45,0,0,0,0,0,0
2021-02-01 04:00,0,0,0,0,0,0
2021-02-01 04:15,0,0,0,0,0,0
2021-02-01 04:30,1,0,1,0,0,0
2021-02-01 04:45,0,0,0,0,0,0
2021-02-01 05:00,0,0,0,0,0,0
2021-02-01 05:15,0,0,0,0,0,0
2021-02-01 05:30,12,2,10,0,0,0
2021-02-01 05:45,7,1,6,0,0,0
2021-02-01 06:00,9,6,3,0,0,0
2021-02-01 06:15,18,5,13,0,0,0
2021-02-01 06:30,31,8,23,0,0,0
2021-02-01 06:45,44,14,30,0,0,0
2021-02-01 07:00,52,11,41,0,0,0
2021-02-01 07:15,42,15,27,0,0,0
2021-02-01 07:30,80,28,52,0,0,0
2021-02-01 07:45,93,18,75,0,0,0
2021-02-01 08:00,83,37,46,0,0,0
2021-02-01 08:15,67,19,48,0,0,0
2021-02-01 08:30,68,40,28,0,0,0
2021-02-01 08:45,60,27,33,0,0,0
2021-02-01 09:00,42,15,27,0,0,0
2021-02-01 09:15,32,14,18,0,0,0
2021-02-01 09:30,36,11,25,0,0,0
2021-02-01 09:45,50,18,32,0,0,0
2021-02-01 10:00,34,12,22,0,0,0
2021-02-01 10:15,30,18,12,0,0,0
2021-02-01 10:30,41,14,27,0,0,0
2021-02-01 10:45,41,19,22,0,0,0
2021-02-01 11:00,32,16,16,0,0,0
2021-02-01 11:15,32,20,12,0,0,0
2021-02-01 11:30,30,12,18,0,0,0
2021-02-01 11:45,45,31,14,0,0,0
2021-02-01 12:00,47,17,30,0,0,0
2021-02-01 12:15,44,11,33,0,0,0
2021-02-01 12:30,53,23,30,0,0,0
2021-02-01 12:45,31,12,19,0,0,0
2021-02-01 13:00,30,11,19,0,0,0
2021-02-01 13:15,28,10,18,0,0,0
2021-02-01 13:30,52,19,33,0,0,0
2021-02-01 13:45,53,26,27,0,0,0
2021-02-01 14:00,52,29,23,0,0,0
2021-02-01 14:15,42,24,18,0,0,0
2021-02-01 14:30,45,27,18,0,0,0
2021-02-01 14:45,80,36,44,0,0,0
2021-02-01 15:00,65,41,24,0,0,0
2021-02-01 15:15,68,43,25,0,0,0
2021-02-01 15:30,55,25,30,0,0,0
2021-02-01 15:45,76,47,29,0,0,0
2021-02-01 16:00,74,46,28,0,0,0
2021-02-01 16:15,78,38,40,0,0,0
2021-02-01 16:30,72,28,44,0,0,0
2021-02-01 16:45,52,23,29,0,0,0
2021-02-01 17:00,76,44,32,0,0,0
2021-02-01 17:15,55,18,37,0,0,0
2021-02-01 17:30,62,26,36,0,0,0
2021-02-01 17:45,61,27,34,0,0,0
2021-02-01 18:00,54,31,23,0,0,0
2021-02-01 18:15,43,13,30,0,0,0
2021-02-01 18:30,33,12,21,0,0,0
2021-02-01 18:45,27,12,15,0,0,0
2021-02-01 19:00,24,9,15,0,0,0
2021-02-01 19:15,23,11,12,0,0,0
2021-02-01 19:30,16,10,6,0,0,0
2021-02-01 19:45,23,19,4,0,0,0
2021-02-01 20:00,10,2,8,0,0,0
2021-02-01 20:15,12,3,9,0,0,0
2021-02-01 20:30,9,6,3,0,0,0
2021-02-01 20:45,12,5,7,0,0,0
2021-02-01 21:00,14,6,8,0,0,0
2021-02-01 21:15,6,1,5,0,0,0
2021-02-01 21:30,12,7,5,0,0,0
2021-02-01 21:45,13,8,5,0,0,0
2021-02-01 22:00,7,3,4,0,0,0
2021-02-01 22:15,7,2,5,0,0,0
2021-02-01 22:30,5,1,4,0,0,0
2021-02-01 22:45,3,1,2,0,0,0
2021-02-01 23:00,7,4,3,0,0,0
2021-02-01 23:15,0,0,0,0,0,0
2021-02-01 23:30,2,1,1,0,0,0
2021-02-01 23:45,4,1,3,0,0,0
2021-02-02 00:00,0,0,0,0,0,0
2021-02-02 00:15,3,3,0,0,0,0
2021-02-02 00:30,1,1,0,0,0,0
2021-02-02 00:45,0,0,0,0,0,0
2021-02-02 01:00,0,0,0,0,0,0
2021-02-02 01:15,1,0,1,0,0,0
2021-02-02 01:30,1,0,1,0,0,0
2021-02-02 01:45,1,1,0,0,0,0
2021-02-02 02:00,4,2,2,0,0,0
2021-02-02 02:15,2,1,1,0,0,0
2021-02-02 02:30,0,0,0,0,0,0
2021-02-02 02:45,0,0,0,0,0,0
2021-02-02 03:00,0,0,0,0,0,0
2021-02-02 03:15,2,2,0,0,0,0
2021-02-02 03:30,0,0,0,0,0,0
2021-02-02 03:45,2,2,0,0,0,0
2021-02-02 04:00,5,5,0,0,0,0
2021-02-02 04:15,2,2,0,0,0,0
2021-02-02 04:30,4,2,2,0,0,0
2021-02-02 04:45,2,1,1,0,0,0
2021-02-02 05:00,2,2,0,0,0,0
2021-02-02 05:15,1,1,0,0,0,0
2021-02-02 05:30,10,4,6,0,0,0
2021-02-02 05:45,15,5,10,0,0,0
2021-02-02 06:00,7,5,2,0,0,0
2021-02-02 06:15,16,5,11,0,0,0
2021-02-02 06:30,30,9,21,0,0,0
2021-02-02 06:45,36,12,24,0,0,0
2021-02-02 07:00,47,13,34,0,0,0
2021-02-02 07:15,49,17,32,0,0,0
2021-02-02 07:30,72,23,49,0,0,0
2021-02-02 07:45,103,35,68,0,0,0
2021-02-02 08:00,76,31,45,0,0,0
2021-02-02 08:15,74,33,41,0,0,0
2021-02-02 08:30,63,31,32,0,0,0
2021-02-02 08:45,79,38,41,0,0,0
2021-02-02 09:00,58,32,26,0,0,0
2021-02-02 09:15,31,11,20,0,0,0
2021-02-02 09:30,39,23,16,0,0,0
